NASDAQ INC,US6311031081        ,43522,5434407,0.0001
NATIONAL AUSTRALIA BANK LIMITED,AU000000NAB4        ,12327959,457367294,0.0087
NATIONAL AUSTRALIA BANK LIMITED CAP NOTE 3-BBSW+4.00% PERP NON-CUM RED T-06-26,AU0000039042        ,1864415,194756751,0.0037
NATIONAL AUSTRALIA BANK LIMITED CAP NOTE 3-BBSW+3.15% PERP NON-CUM RED T-12-29,AU0000226961        ,2428512,255576629,0.0048
NATIONAL AUSTRALIA BANK LIMITED CAP NOTE 3-BBSW+3.50% PERP NON-CUM RED T-12-27,AU0000124042        ,214639,22515633,0.0004
NATIONAL AUSTRALIA BANK LIMITED,AU0000293813        ,139,14431,0
NATIONAL BANK OF CANADA,CA6330671034        ,4086,601314,0
NATWEST GROUP PLC ORD,GB00BM8PJY71        ,99085,805915,0
NAVER CORP,KR7035420009        ,615,134186,0
NCC GROUP PLC,GB00B01QGK86        ,12501,38082,0
NEC CORPORATION,JP3733000008        ,2955,416594,0
NEC ELECTRONICS CORP,JP3164720009        ,23134,486543,0
NEMETSCHEK AG,DE0006452907        ,658,103033,0
NEOGENOMICS INC,US64049M2098        ,70185,1868113,0
NEOJAPAN INC,JP3758230001        ,20716,373427,0
NESTE OYJ,FI0009013296        ,7145,144891,0
NESTLE INDIA INR1 POST SUB,INE239A01024        ,40877,1673451,0
NESTLE SA,CH0038863350        ,276206,36859993,0.0007
NETAPP INC,US64110D1046        ,24902,4668772,0.0001
NETEASE INC,KYG6427A1022        ,8185,235548,0
NETEASE INC SPON ADS EACH REP 25 ORD SH,US64110W1027        ,21990,3168376,0.0001
NETFLIX INC,US64110L1061        ,96027,138240310,0.0026
NETWEALTH GROUP LTD,AU000000NWL7        ,73016,2099198,0
NEUREN PHARMACEUTICALS LTD,NZNEUE0001S8        ,7818,97731,0
NEUROCRINE BIOSCIENCES INC,US64125C1099        ,21468,4732977,0.0001
NEUSOFT CORP,CNE000000KJ6        ,766498,1826638,0
NEW CARPHONE WAREHOUSE PLC,GB00B4Y7R145        ,39742,76289,0
NEW GOLD INC,CA6445351068        ,35531,143248,0
NEW YORK TIMES CO CLASS A COM USD0.10,US6501111073        ,19371,1628418,0
NEWELL BRANDS INC,US6512291062        ,10371,166829,0
NEWMONT CORP,US6516391066        ,44651,2684185,0.0001
NEWMONT CORPORATION,AU0000297962        ,1823946,108597753,0.0021
NEWS CORP,US65249B1098        ,24450,1087524,0
NEWS CORP,US65249B2088        ,6211,305257,0
NEWS CORPORATION CLASS B,AU000000NWS2        ,861619,42650157,0.0008
NEXANS SA,FR0000044448        ,776,135269,0
NEXGEN ENERGY LTD,AU0000159329        ,155533,1681310,0
NEXI SPA ORD,IT0005366767        ,6730,60326,0
NEXON CO LTD,JP3758190007        ,3835,93655,0
NEXT PLC,GB0032089863        ,42423,8150345,0.0002
NEXTDC LIMITED ORDINARY FULLY PAID,AU000000NXT8        ,7376434,111162865,0.0021
NGK INSULATORS LTD,JP3695200000        ,15315,316830,0
NH FOODS LTD,JP3743000006        ,2209,115653,0
NHI INVESTMENT AND SE PFD KRW5000,KR7005941000        ,2069,27597,0
NHK SPRING CO LTD,JP3742600004        ,6001,123336,0
NIB HOLDINGS LTD,AU000000NHF0        ,97911,536552,0
NIBE INDUSTRIER AB SER B NPV,SE0015988019        ,17270,109156,0
NICE  LTD,IL0002730112        ,846,232866,0
NICHIAS CORPORATION,JP3660400007        ,1552,89310,0
NICHIREI CORP,JP3665200006        ,2687,115034,0
NICK SCALI FURNITURE,AU000000NCK1        ,1478709,22195426,0.0004
NICKEL INDUSTRIES LIMITED,AU0000018236        ,875296,722119,0
NIDEC CORPORATION,JP3734800000        ,10058,295112,0
NIKE INC CL B,US6541061031        ,79460,9711226,0.0002
NIKON CORPORATION JPY,JP3657400002        ,6896,116195,0
NILFISK HOLDING AS,DK0060907293        ,1515,35480,0
NILORNGRUPPEN ABB SHS,SE0007100342        ,1116,10736,0
NINE ENTERTAINMENT CO HOLDINGS PTY LIMITED,AU000000NEC4        ,258788,319603,0
NINETY ONE PLC ORD GBP0.0001,GB00BJHPLV88        ,10992,32417,0
NINTENDO CO LTD,JP3756600007        ,130997,12471642,0.0002
NIPPON EXPRESS HOLDINGS ORD SHS,JP3688370000        ,6448,158585,0
NIPPON KAYAKU CO LTD,JP3694400007        ,25824,340758,0
NIPPON LIGHT METAL HOLDINGS CO LTD,JP3700200003        ,3672,58832,0
NIPPON PAINT HOLDINGS CO LTD,JP3749400002        ,10813,113731,0
NIPPON SANSO HOLDINGS CORP,JP3711600001        ,70606,3210106,0.0001
NIPPON SHINYAKU CO LTD,JP3717600005        ,1314,53850,0
NIPPON SHOKUBAI JP50,JP3715200006        ,24450,481192,0
NIPPON STEEL CORPORATION,JP3381000003        ,12761,417309,0
NIPPON YUSEN KK NPV,JP3753000003        ,6291,340915,0
NIPRO CORP,JP3673600007        ,2836,43633,0
NISHI NIPPON FINAN NPV,JP3658850007        ,46333,965186,0
NISSAN CHEMICAL CORPORATION,JP3670800006        ,11851,602741,0
NISSAN MOTOR CO,JP3672400003        ,26717,131793,0
NISSIN FOOD HOLDINGS CO LTD,JP3675600005        ,2263,88914,0
NISSUI CORPORATION,JP3718800000        ,6986,64570,0
NITORI CO LTD,JP3756100008        ,16967,3249294,0.0001
NITTO DENKO CORPORATION,JP3684000007        ,90942,2504736,0
NKT AS DKK20,DK0010287663        ,1350,155739,0
NMI HOLDINGS INC,US6292093050        ,1822,108157,0
NMS HOLDINGS CO,JP3750800009        ,7478,29204,0
NN GROUP NV,NL0010773842        ,3858,271475,0
NOBLEOAK LIFE LIMITED ORDINARY FULLY PAID,AU0000161580        ,4002631,6344170,0.0001
NOHO PARTNERS OYJ,FI4000064332        ,1422,18881,0
NOK CORP,JP3164800009        ,10479,266639,0
NOKIA OYJ,FI0009000681        ,84393,603316,0
NOKIA OYJ NPV,FI0009000681        ,25671,182984,0
NOMURA HOLDINGS INC,JP3762600009        ,309756,2964636,0.0001
NOMURA RESEARCH INSTITUTE LTD,JP3762800005        ,5335,255422,0
NORCONSULT ORD SHS,NO0013052209        ,16047,100980,0
NORDEA BANK ABP,FI4000297767        ,45016,790580,0
NORDSON CORP,US6556631025        ,3508,1185572,0
NORFOLK SOUTHERN CORP USD,US6558441084        ,18387,6969954,0.0001
NORITAKE CO LTD,JP3763000001        ,4359,177832,0
NORSK HYDRO ASA,NO0005052605        ,1310778,11657732,0.0002
NORTH WEST CO INC VAR VTG AND COM VTG,CA6632782083        ,1221,67340,0
NORTHERN STAR RESOURCES LTD,AU000000NST8        ,9502941,146725403,0.0028
NORTHERN TRUST CORP,US6658591044        ,10854,1796934,0
NORTHROP GRUMMAN CORP,US6668071029        ,5017,3802973,0.0001
NORTONLIFELOCK,US6687711084        ,71353,3155372,0.0001
NORWEGIAN CRUISE LINE HOLDINGS LTD,BMG667211046        ,36850,1531365,0
NOVA LTD,IL0010845571        ,982,312727,0
NOVARTIS  ADR SPONSORED,US66987V1098        ,73501,11552011,0.0002
NOVARTIS AG,CH0012005267        ,216185,34174822,0.0006
NOVO NORDISK ORD SHS CLASS B,DK0062498333        ,583928,81744393,0.0015
NOVOZYMES A S,DK0060336014        ,4240,387644,0
NRW HOLDINGS LTD,AU000000NWH5        ,173312,665520,0
NS SOLUTIONS CORP NPV,JP3379900008        ,5165,216132,0
NS UNITED KAIUN KAISHA LTD,JP3385000009        ,37437,1560105,0
NSK LTD JPY,JP3720800006        ,125536,886186,0
NTT DATA GROUP CORPORATION,JP3165700000        ,7606,236859,0
NU HOLDINGS LTD,KYG6683N1034        ,1717858,28744256,0.0005
NUCOR CORP,US6703461052        ,10440,1968031,0
NUFARM LIMITED,AU000000NUF3        ,737399,2610392,0
NUIX LIMITED,AU0000119307        ,365474,2309793,0
NUSCALE POWER ORD SHS CLASS A,US67079K1007        ,34724,1005561,0
NUTANIX INC,US67059N1081        ,3017,298163,0
NUTRIEN LTD COM NPV,CA67077M1086        ,7183,518875,0
NUVALENT INC,US6707031075        ,26429,3341392,0.0001
NUVISTA ENERGY LTD,CA67072Q1046        ,3993,61971,0
NVIDIA CORP,US67066G1040        ,4199996,910954530,0.0172
NVR INC,US62944T1051        ,154,2030219,0
NXP SEMICONDUCTORS,NL0009538784        ,27283,9159129,0.0002
OBAYASHI CORPORATION,JP3190000004        ,7418,159556,0
OBIC BUSINESS CONSULTANTS CO LTD,JP3173500004        ,2120,151089,0
OBIC CO LTD,JP3173400007        ,4605,222093,0
OBJECTIVE CORPORATION LTD,AU000000OCL7        ,19232,305402,0
OBSIDIAN ENERGY LT COM NPV,CA6744822033        ,8710,81772,0
OCCIDENTAL PETROLEUM CORP,US6745991058        ,29255,2334609,0
OCEANAGOLD CORP,CA6752221037        ,18187,81288,0
OFG BANCORP COM USD1,PR67103X1020        ,6338,433194,0
OFX GROUP LIMITED,AU000000OFX5        ,306100,433132,0
OIL REFINERIES LTD,IL0025902482        ,466401,194337,0
OKAMURA CORP,JP3192400004        ,36053,764378,0
OKANO VALVE MFG ORD SHS,JP3191600000        ,7276,554081,0
OKTA INC,US6792951054        ,149365,19009872,0.0004
OLBA HEALTHCARE HOLDINGS ORD SHS,JP3226700007        ,1870,38080,0
OLD DOMINION FREIGHT LINE INC,US6795801009        ,36751,10470473,0.0002
OLD REPUBLIC INTL CORP,US6802231042        ,14438,843901,0
OLYMPUS CORP,JP3201200007        ,14144,344575,0
OMNI BRIDGEWAY LIMITED ORDINARY FULLY PAID,AU0000082489        ,8748,12685,0
OMNICOM GROUP,US6819191064        ,10994,1527760,0
OMRON CORP,JP3197800000        ,2012,110665,0
OMV AG,AT0000743059        ,1678,104819,0
ON SEMICONDUCTOR CORPORATION,US6821891057        ,49630,5054015,0.0001
ONEMAIN HOLDINGS INC,US68268W1036        ,2830,238289,0
ONESPAN INC COM USD0,US68287N1000        ,15424,461872,0
ONEX CORP,CA68272K1030        ,754,95119,0
ONO PHARMACEUTICAL CO LTD,JP3197600004        ,4275,71805,0
OOHIMEDIA LIMITED,AU000000OML6        ,2201693,2597998,0
OPEN TEXT CORP,CA6837151068        ,4918,224671,0
ORACLE CORP,US68389X1054        ,168539,45361065,0.0009
ORACLE CORPORATION JAPAN,JP3689500001        ,440,68535,0
OREILLY AUTOMOTIVE INC,US67103H1077        ,6121,11723117,0.0002
ORICA LIMITED,AU000000ORI1        ,524252,8692093,0.0002
ORIENTAL LAND CO LTD,JP3198900007        ,13138,462049,0
ORION OYJ,FI0009014377        ,1230,87976,0
ORIX CORPORATION,JP3200450009        ,98296,3442675,0.0001
ORKLA ASA,NO0003733800        ,7988,111723,0
ORORA LIMITED ORDINARY,AU000000ORA8        ,4489927,11045220,0.0002
ORSTED AS,DK0060094928        ,2023,147087,0
ORUKA THERAPEUTICS INC,US6876041087        ,26097,817269,0
OSB GROUP PLC ORD GBP3.04,GB00BLDRH360        ,12804,104793,0
OSISKO GOLD ROYALTIES LTD,CA68827L1013        ,50323,1471105,0
OSK MITSUI OSK LINES LTD,JP3362700001        ,4907,277757,0
OTIS WORLDWIDE COR COM,US68902V1070        ,16642,2489210,0
OTP BANK RT,HU0000061726        ,954,84168,0
OTSUKA CORPORATION,JP3188200004        ,2577,95594,0
OTSUKA HLDGS CO NPV,JP3188220002        ,25858,2285336,0
OVERSEA-CHINESE BANKING CORP,SG1S04926220        ,49426,976655,0
OVINTIV INC,US69047Q1022        ,3143,205602,0
OWENS CORNING INC,US6907421019        ,1069,293980,0
OXFORD INDUSTRIES INC,US6914973093        ,359,45735,0
OXFORD INSTRUMENTS PLC,GB0006650450        ,2095,91319,0
OXFORD NANOPORE TECHNOLOGIES PLC,GB00BP6S8Z30        ,21928,57129,0
PACCAR INC,US6937181088        ,19257,3235241,0.0001
PACIFIC BASIN SHIPPING LTD,BMG684371393        ,127775,43570,0
PACIFIC TEXTILES HOLDINGS,KYG686121032        ,5423754,1747952,0
PACKAGING CORP OF AMERICA,US6951561090        ,4653,1691921,0
PAGEGROUP PLC ORD,GB0030232317        ,11139,77417,0
PALANTIR TECHNOLOGIES INC,US69608A1088        ,65224,7967191,0.0002
PALO ALTO NETWORKS INC,US6974351057        ,21010,6174565,0.0001
PAN AMERICAN SILVER CORP,CA6979001089        ,4149,135495,0
PAN PACIFIC INTL H NPV,JP3639650005        ,4589,203547,0
PANASONIC HOLDINGS CORP,JP3866800000        ,33848,571519,0
PANDORA,DK0060252690        ,35365,10445755,0.0002
PANDORA AS SPONSORED ADR,US6983412031        ,2295,172397,0
PANTORO LTD,AU000000PNR8        ,11988,1079,0
PARADE TECHNOLOGIES LTD,KYG6892A1085        ,142682,5391367,0.0001
PARADOX INTERACTIVE AB,SE0008294953        ,1982,59514,0
PARAGON BANKING GR ORD GBP1,GB00B2NGPM57        ,12438,187059,0
PARAMOUNT GLOBAL,US92556H2067        ,68813,1162533,0
PARKER HANNIFIN CORP,US7010941042        ,4450,4571109,0.0001
PARKLAND CORP,CA70137W1086        ,1572,57377,0
PARTNERS GROUP,CH0024608827        ,273,598067,0
PAYCHEX INC,US7043261079        ,12773,2892717,0.0001
PAYCOM SOFTWARE INC,US70432V1026        ,3535,1170320,0
PAYPAL HOLDINGS INC,US70450Y1038        ,36055,4970136,0.0001
PB FINTECH LTD,INE417T01026        ,50347,2002989,0
PEGASYSTEMS INC,US7055731035        ,3841,578140,0
PENTAIR PLC COM,IE00BLS09M33        ,9315,1514065,0
PENUMBRA INC,US70975L1070        ,11975,4593180,0.0001
PEPSICO INC CAP 2/3,US7134481081        ,151737,37265845,0.0007
PER AARSLEFF HLDNG DKK2 B,DK0060700516        ,425,47795,0
PERENTI LTD,AU0000061897        ,406107,566520,0
PERIMETER SOLUTIONS INC,US71385M1071        ,2608,53839,0
PERNOD-RICARD SA,FR0000120693        ,2438,444529,0
PERPETUAL TRUSTEES AUSTRALIA LIMITED,AU000000PPT9        ,25881,514775,0
PERSEUS MINING LTD,AU000000PRU3        ,116543,299516,0
PERSIMMON PLC,GB0006825383        ,3643,88279,0
PERSISTENT SYSTEMS ORD SHS,INE262H01021        ,15848,1930636,0
PERSOL HOLDINGS CO NPV,JP3547670004        ,43676,106155,0
PETER WARREN AUTOMOTIVE HOLDINGS LIMITED ORDINARY FULLY PAID,AU0000143711        ,7754082,11631122,0.0002
PETERSHILL PARTNERS PLC,GB00BL9ZF303        ,9871,49517,0
PETROCHINA CO LTD H,CNE1000003W8        ,46486,59055,0
PETROLEO BRASILEIRO PETROBRAS SA,BRPETRACNPR6        ,19251,182142,0
PETROLEO BRASILRIRO SA,BRPETRACNOR9        ,8084,83296,0
PETS AT HOME GROUP PLC,GB00BJ62K685        ,17027,70812,0
PFIZER INC COM,US7170811035        ,183116,7846351,0.0001
PHARMARON BEIJING CO LTD,CNE100003PG4        ,239855,703180,0
PHILLIPS COM,US7185461040        ,15985,2941359,0.0001
PHOENIX GP HLDGS ORD,GB00BGXQNP29        ,6676,68872,0
PHOENIX FINANCIAL LTD,IL0007670123        ,4418,104141,0
PHOTO ME INTERNATIONAL PLC,GB0008481250        ,13192,54704,0
PI INDUSTRIES LTD,INE603J01030        ,46158,3209371,0.0001
PIDILITE INDUSTRIES LTD,INE318A01026        ,68155,3734181,0.0001
PIERRE ET VACANCES SA,FR0000073041        ,32071,81207,0
PILBARA MINERALS LTD,AU000000PLS0        ,24322883,53267113,0.001
PILGRIMS PRIDE CORP,US72147K1088        ,3584,262742,0
PINEWOOD TECHNOLOGIES GROUP ORD SHS,GB00BSB7BS06        ,8264,60013,0
PINNACLE INVESTMENT MANAGEMENT GROUP LTD,AU000000PNI7        ,151285,3456853,0.0001
PINTEREST INC,US72352L1061        ,7292,341554,0
PJT PARTNERS INC,US69343T1079        ,11955,3047049,0.0001
PLANET FITNESS INC,US72703H1014        ,2209,352780,0
PLATINUM ASSET MANAGEMENT LTD,AU000000PTM6        ,52521,36240,0
PLEXUS CORP,US7291321005        ,2024,511484,0
PLIANT THERAPEUTICS INC,US7291391057        ,86119,1831838,0
PLOVER BAY TECHNOLOGIES LTD,KYG713321035        ,149562,139626,0
PLUS500 LTD,IL0011284465        ,4074,223185,0
PLUSZERO INC,JP3832750008        ,5508,155255,0
POLYNOVO LIMITED,AU000000PNV0        ,259663,529712,0
POOL CORPORATION,US73278L1052        ,2455,1351875,0
POP MART INTERNATIONAL GROUP LTD,KYG7170M1033        ,84786,1580411,0
POPULAR INC COM USD6 POST REV SPLIT,PR7331747001        ,1806,274344,0
PORSCHE AUTOMOBIL HOLDING SE,DE000PAH0038        ,1745,106091,0
PORTO SEGURO SA,BRPSSAACNOR7        ,19453,185885,0
POSTAL SAVINGS BANK OF CHINA CO LTD,CNE1000029W3        ,1712892,1631147,0
POSTS ITALIANE SPA,IT0003796171        ,5210,118666,0
POWELL INDUSTRIES INC,US7391281067        ,225,80477,0
POWER CORP OF CANADA CAD,CA7392391016        ,6789,341880,0
POWSZECHNA KASA OS,PLPKO0000016        ,1944,45421,0
PPG INDUSTRIES INC,US6935061076        ,10858,2094740,0
PPHE HOTEL GROUP LTD,GG00B1Z5FH87        ,1692,48258,0
PRADA SPA,IT0003874101        ,822946,10292115,0.0002
PRAEMIUM LTD,AU000000PPS1        ,197774,145364,0
PRAXIS PRECISION MEDICINES I,US74006W2070        ,10522,1307830,0
PREMIER FOODS PLC,GB00B7N0K053        ,30755,116705,0
PREMIER INVESTMENTS LIMITED,AU000000PMV2        ,589172,18930100,0.0004
PRESIDENT SECURITIES CORP,TW0002855004        ,339142,430224,0
PRIMORIS SERVICE CORP,US74164F1030        ,1263,155863,0
PRINCIPAL FINANCIAL GROUP,US74251V1026        ,12577,1572474,0
PRO MEDICUS LTD,AU000000PME8        ,7343,1836730,0
PROCORE TECHNOLOGIES INC,US74275K1088        ,2561,309992,0
PROCTER & GAMBLE COMPANY,US7427181091        ,258915,70107538,0.0013
PROG HOLDINGS INC,US74319R1014        ,1008,68792,0
PROGRESS SOFTWARE CORPORATION,US7433121008        ,2239,235604,0
PROGRESSIVE CORP,US7433151039        ,34871,13495187,0.0003
PROPEL FUNERAL PARTNERS LIMITED ORDINARY FULLY PAID,AU000000PFP8        ,292990,1719853,0
PROSPERITY BANCSHARES INC,US7436061052        ,2347,285570,0
PROSUS NV,NL0013654783        ,16460,1055694,0
PRUDENTIAL FINANCIAL INC,US7443201022        ,14447,2765652,0.0001
PRUDENTIAL PLC,GB0007099541        ,369466,4752107,0.0001
PRYSMIAN SPA,IT0004176001        ,4555,469748,0
PT BANK NEGARA IND LKD SHS IDR7500 AND IDR375,ID1000096605        ,12879825,5622279,0.0001
PTC INC,US69370C1009        ,14362,4265189,0.0001
PTC THERAPEUTICS INC,US69366J2006        ,32979,2404361,0
PTT PUBLIC COMPANY THB1 ALIEN,TH0646010Z18        ,23192,34882,0
PUBLICIS GROUPE,FR0000130577        ,72920,12561441,0.0002
PULTE GROUP INC,US7458671010        ,10485,1844184,0
PUMA SE,DE0006969603        ,21324,1582020,0
PURE STORAGE INC,US74624M1027        ,3772,374227,0
PVH CORP COM USD1.00,US6936561009        ,1705,291206,0
PWR HOLDINGS LIMITED ORDINARY FULLY PAID,AU000000PWH0        ,255707,2009854,0
Q2 HOLDINGS INC,US74736L1098        ,6371,1035608,0
QANTAS AIRWAYS LIMITED,AU000000QAN2        ,397177,3562674,0.0001
QBE INSURANCE GROUP LTD,AU000000QBE9        ,12283355,235840417,0.0045
QIAGEN NV ORD EUR0.01 POST REV SPLT,NL0015001WM6        ,6172,444305,0
QORVO INC,US74736K1016        ,1572,177503,0
QUADIENT SAS,FR0000120560        ,13106,411192,0
QUALCOMM INC,US7475251036        ,112739,27972188,0.0005
QUALITAU ORD SHS,IL0010839558        ,1709,186492,0
QUANTA COMPUTER INC,TW0002382009        ,5558,78585,0
QUANTA SERVICES INC,US74762E1029        ,5715,2917448,0.0001
QUARTERHILL INC,CA7477131055        ,29572,54464,0
QUECTEL WIRELESS SOLUTIONS ORD SHS A,CNE100003N01        ,353018,5346050,0.0001
QUEST DIAGNOSTICS,US74834L1008        ,6383,1555190,0
QUILTER PLC ORD GBP 0.08167,GB00BNHSJN34        ,351807,1097327,0
RADIAN GROUP INC,US7502361014        ,3777,193508,0
RAIFFEISEN INTL BANK HOLDING,AT0000606306        ,32538,1074759,0
RAKUS CO LTD,JP3967170006        ,97533,1862345,0
RAKUTEN BANK ORD,JP3967220009        ,7117,323294,0
RAKUTEN GROUP INC,JP3967200001        ,18105,159807,0
RALPH LAUREN CORP COM,US7512121010        ,3280,1223744,0
RAMELIUS RESOURCES LIMITED,AU000000RMS4        ,84015,173910,0
RANDSTAD NV,NL0000379121        ,1237,84190,0
RASPBERRY PI HOLDINGS PLC,GB00BS3DYQ52        ,2116,26754,0
RATHBONE BROTHERS PLC,GB0002148343        ,2226,74760,0
RATIONAL AG,DE0007010803        ,58,80568,0
RAYMOND JAMES FINL,US7547301090        ,8551,2145276,0
RB GLOBAL INC COM NPV,CA74935Q1072        ,2200,320572,0
REA GROUP LTD,AU000000REA9        ,233282,54427102,0.001
REC LTD,INE020B01018        ,147186,1390284,0
RECKITT BENCKISER GROUP PLC,GB00B24CGK77        ,8317,813061,0
RECORDATI SPA - NEW,IT0003828271        ,1191,100812,0
RECRUIT HLDGS CO LNPV,JP3970300004        ,122749,14059227,0.0003
RED ROCK RESORTS INC,US75700L1089        ,1188,88760,0
RED VIOLET INC,US75704L1044        ,4472,261448,0
REDDE NORTHGATE PLC,GB00B41H7391        ,11502,74798,0
REECE LIMITED,AU000000REH4        ,949475,21249259,0.0004
REGENERON PHARMACEUTICALS INC,US75886F1075        ,3708,4265891,0.0001
REGIS RESOURCES LTD,AU000000RRL8        ,247391,630847,0
RELIANCE INC,US7595091023        ,22939,9975901,0.0002
RELIANCE INDUSTRIES LIMITED,INE002A01018        ,459778,10542560,0.0002
RELIANCE WORLDWIDE CORPORATION AUST PTY LTD,AU000000RWC7        ,6835614,34314782,0.0006
RELX PLC,GB00B2B0DG97        ,23403,1717645,0
RENAULT SA,FR0000131906        ,83759,6590947,0.0001
RENAULT SA,US7596734035        ,3838,59510,0
RENEWI PLC ORD GBP1,GB00BNR4T868        ,3775,61775,0
RENGO CO LTD,JP3981400009        ,158123,1423515,0
RENISHAW PLC,GB0007323586        ,1271,87042,0
RENT-A-CENTER INC,US76009N1000        ,1095,51577,0
RENTOKIL INITIAL PLC,GB00B082RF11        ,30374,246254,0
REPLIGEN CORPORATION,US7599161095        ,54085,12573783,0.0002
REPSOL SA,ES0173516115        ,16887,330152,0
REPUBLIC SERVICES INC,US7607591002        ,8905,2893432,0.0001
RESMED INC,AU000000RMD6        ,2538369,93335832,0.0018
RESMED INC,US7611521078        ,6256,2310543,0
RESOLUTE MINING LIMITED,AU000000RSG6        ,638183,252082,0
RESONA HOLDINGS INC,JP3500610005        ,341448,4016076,0.0001
RESORTTRUST INC,JP3974450003        ,4448,143634,0
RESTAURANT BRNDS ICOM NPV,CA76131D1033        ,3709,390238,0
REVOLUTION MEDICINES INC,US76155X1000        ,93692,6618920,0.0001
REVVITY INC,US7140461093        ,7855,1415892,0
REXEL SA,FR0010451203        ,2570,105730,0
RH COM USD0.0001,US74967X1037        ,8328,5294053,0.0001
RHEINMETALL AG,DE0007030009        ,9155,9410635,0.0002
RHI MAGNESITA NV,NL0012650360        ,764,50347,0
RHYTHM PHARMACEUTICALS INC,US76243J1051        ,18459,1668922,0
RICOH CO,JP3973400009        ,6223,115860,0
RIDLEY CORPORATION LIMITED,AU000000RIC6        ,2595543,7007967,0.0001
RIGHTMOVE ORD GBP,GB00BGDT3G23        ,20001,259656,0
RINGCENTRAL INC,US76680R2067        ,4135,233819,0
RINGKJOEBING LANDBOBANK AS,DK0060854669        ,1124,303588,0
RINNAI CORP NPV,JP3977400005        ,51969,1740552,0
RIO TINTO LIMITED,AU000000RIO1        ,4094886,480985353,0.0091
RIO TINTO PLC ORD,GB0007188757        ,13565,1295972,0
RIVIAN AUTOMOTIVE INC,US76954A1034        ,9052,194454,0
ROBINHOOD MARKETS INC,US7707001027        ,6412,385875,0
ROBLOX CORPORATION COM CL A ORD SHS,US7710491033        ,166211,15532505,0.0003
ROCHE HOLDING AG,CH0012032048        ,55061,25072336,0.0005
ROCHE HOLDING AG,CH0012032113        ,385,185842,0
ROCKET PHARMACEUTICALS INC,US77313F1066        ,51907,1053808,0
ROCKWELL AUTOMATION INC,US7739031091        ,87750,40504147,0.0008
ROCKWOOL A/S,DK0010219153        ,106,60805,0
ROKU INC,US77543R1023        ,1509,181149,0
ROLLINS INC,US7757111049        ,18357,1374221,0
ROLLS ROYCE ORD,GB00B63H8491        ,102328,1176925,0
ROPER TECHNOLOGIES INC,US7766961061        ,11506,9660945,0.0002
ROSS STORES INC,US7782961038        ,12743,3113338,0.0001
ROUND ONE CORP NPV,JP3966800009        ,4568,61634,0
ROYAL BANK OF CANADA,CA7800871021        ,292571,56946233,0.0011
ROYAL CARIBBEAN GROUP,LR0008862868        ,8935,3328961,0.0001
ROYAL GOLD INC COM USD0.01,US7802871084        ,1631,347248,0
ROYAL MAIL PLC,GB00BDVZYZ77        ,21553,158602,0
ROYALTY PHARMA PLC,GB00BMVP7Y09        ,4589,189076,0
RPM GLOBAL HOLDINGS LIMITED,AU000000RUL2        ,183742,560414,0
RPM INTERNATIONAL INC,US7496851038        ,1572,312363,0
RTX CORPORATION,US75513E1010        ,327807,61267542,0.0012
RUBRIK INCA,US7811541090        ,1649,174027,0
RUNNER XIAMEN CORP A,CNE1000041F3        ,11823,32781,0
RUSH STREET INTERACTIVE INC,US7820111000        ,23972,531197,0
RWE AG,DE0007037129        ,7607,366792,0
RYDER SYS INC USD,US7835491082        ,1089,275990,0
RYOHIN KEIKAKU CO NPV,JP3976300008        ,6807,251687,0
S AND P GLOBAL INC COM,US78409V1044        ,23869,19199896,0.0004
S HOTELS AND RESORTS PCL,TH9460010019        ,484107,54121,0
SAAB ORD SHS CLASS B,SE0021921269        ,3650,124683,0
SAFRAN SA,FR0000073272        ,35844,12714970,0.0002
SAFRAN SA,US7865841024        ,5415,476655,0
SAGE GROUP,GB00B8C3BL03        ,161806,4166479,0.0001
SAGE GROUP PLC,US78663S2014        ,1673,171956,0
SAINSBURY (J) PLC,GB00B019KW72        ,18957,104915,0
SAIZERIYA CO LTD,JP3310500008        ,716,39394,0
SALESFORCE INC,US79466L3024        ,227837,123027814,0.0023
SALMAR ASA,NO0010310956        ,752,57838,0
SAMPO PLC NPV A,FI4000552500        ,5953,392084,0
SAMSARA INC,US79589L1061        ,582407,41097265,0.0008
SAMSONITE INTL SA USD0.01,LU0633102719        ,2874756,12910781,0.0002
SAMSUNG C AND T CORPORATION,KR7028260008        ,1038,130715,0
SAMSUNG ELECTRONICS CO LTD,KR7005930003        ,541539,31607751,0.0006
SAMSUNG ELECTRONICS PFD,KR7005931001        ,2974,144220,0
SAMSUNG SDS CO LTD,KR7018260000        ,3385,474595,0
SAMSUNG SECURITIES CO LTD,KR7016360000        ,1589,75840,0
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,INE775A01035        ,156681,461462,0
SAMYANG FOODS CO LTD,KR7003230000        ,1734,1455269,0
SAN AI OBBLI CO LTD,JP3323600001        ,1164,22675,0
SANDFIRE RESOURCES LIMITED ORDINARY FULLY PAID,AU000000SFR8        ,1468673,13629288,0.0003
SANDOZ GROUP ORD SHS,CH1243598427        ,30013,1988159,0
SANDS CHINA LIMITED,KYG7800X1079        ,27660,120198,0
SANDSTORM GOLD LTD,CA80013R2063        ,7247,65437,0
SANDVIK AB,SE0000667891        ,12829,371854,0
SANOFI SA,FR0000120578        ,268069,42026720,0.0008
SANRIO CO LTD NPV,JP3343200006        ,4478,254957,0
