PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR THE DIVERSIFIED MY SUPER OPTION  - ASSETS - 2024-12-31,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%)
LISTED EQUITY,-,-,-,-,AGNICO EAGLE MINES LTD.,-,AEM CN,-,,"20,423","$2,579,462",0.02%
LISTED EQUITY,-,-,-,-,"CUMMINS, INC.",-,CMI US,-,,"4,579","$2,578,003",0.02%
LISTED EQUITY,-,-,-,-,METCASH LTD.,-,MTS AU,-,,"827,031","$2,563,796",0.02%
LISTED EQUITY,-,-,-,-,THOMSON REUTERS CORP.,-,TRI CN,-,,"9,843","$2,551,292",0.02%
LISTED EQUITY,-,-,-,-,EMAAR PROPERTIES PJSC,-,EMAAR UH,-,,"449,456","$2,539,612",0.02%
LISTED EQUITY,-,-,-,-,STMICROELECTRONICS NV,-,STMPA FP,-,,"62,257","$2,527,552",0.02%
LISTED EQUITY,-,-,-,-,WOLTERS KLUWER NV,-,WKL NA,-,,"9,341","$2,505,944",0.02%
LISTED EQUITY,-,-,-,-,DEUTSCHE BOERSE AG,-,DB1 GR,-,,"6,723","$2,500,677",0.02%
LISTED EQUITY,-,-,-,-,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",-,FIS US,-,,"19,055","$2,485,823",0.02%
LISTED EQUITY,-,-,-,-,EAGERS AUTOMOTIVE LTD.,-,APE AU,-,,"209,331","$2,478,483",0.02%
LISTED EQUITY,-,-,-,-,"UNITED PARCEL SERVICE, INC.",-,UPS US,-,,"12,090","$2,462,258",0.02%
LISTED EQUITY,-,-,-,-,LOVISA HOLDINGS LTD.,-,LOV AU,-,,"81,526","$2,458,823",0.02%
LISTED EQUITY,-,-,-,-,"ZOETIS, INC.",-,ZTS US,-,,"9,325","$2,454,022",0.02%
LISTED EQUITY,-,-,-,-,"GODADDY, INC.",-,GDDY US,-,,"7,697","$2,453,759",0.02%
LISTED EQUITY,-,-,-,-,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",-,BR US,-,,"6,682","$2,439,875",0.02%
LISTED EQUITY,-,-,-,-,"SHOPIFY, INC.",-,SHOP CN,-,,"14,172","$2,434,847",0.02%
LISTED EQUITY,-,-,-,-,TRUIST FINANCIAL CORP.,-,TFC US,-,,"34,738","$2,433,902",0.02%
LISTED EQUITY,-,-,-,-,"AXON ENTERPRISE, INC.",-,AXON US,-,,"2,533","$2,431,742",0.02%
LISTED EQUITY,-,-,-,-,STATE STREET CORP.,-,STT US,-,,"15,271","$2,420,849",0.02%
LISTED EQUITY,-,-,-,-,CHINA MENGNIU DAIRY CO. LTD.,-,2319 HK,-,,"662,952","$2,420,496",0.02%
LISTED EQUITY,-,-,-,-,SAMSUNG ELECTRONICS CO. LTD.,-,005935 KS,-,,"49,489","$2,399,854",0.02%
LISTED EQUITY,-,-,-,-,AUSTRALIAN CLINICAL LABS LTD.,-,ACL AU,-,,"695,212","$2,391,530",0.02%
LISTED EQUITY,-,-,-,-,VODAFONE GROUP PLC,-,VOD LN,-,,"1,727,568","$2,386,728",0.02%
LISTED EQUITY,-,-,-,-,"FREEPORT-MCMORAN, INC.",-,FCX US,-,,"38,682","$2,379,092",0.02%
LISTED EQUITY,-,-,-,-,RIGHTMOVE PLC,-,RMV LN,-,,"182,235","$2,365,796",0.02%
LISTED EQUITY,-,-,-,-,BANCO SANTANDER SA,-,SAN SM,-,,"314,641","$2,349,321",0.02%
LISTED EQUITY,-,-,-,-,"CONSTELLATION SOFTWARE, INC.",-,CSU CN,-,,470,"$2,345,617",0.02%
LISTED EQUITY,-,-,-,-,AXA SA,-,CS FP,-,,"40,698","$2,336,002",0.02%
LISTED EQUITY,-,-,-,-,MERIDIAN ENERGY LTD.,-,MEZ AU,-,,"425,779","$2,294,948",0.02%
LISTED EQUITY,-,-,-,-,"SHOPIFY, INC.",-,SHOP US,-,,"13,313","$2,286,280",0.02%
LISTED EQUITY,-,-,-,-,"SYNOPSYS, INC.",-,SNPS US,-,,"2,903","$2,275,191",0.02%
LISTED EQUITY,-,-,-,-,BROOKFIELD CORP.,-,BN CN,-,,"24,427","$2,266,394",0.02%
LISTED EQUITY,-,-,-,-,"GENERAL MILLS, INC.",-,GIS US,-,,"21,968","$2,262,619",0.02%
LISTED EQUITY,-,-,-,-,"PALO ALTO NETWORKS, INC.",-,PANW US,-,,"7,697","$2,261,974",0.02%
LISTED EQUITY,-,-,-,-,"CARDINAL HEALTH, INC.",-,CAH US,-,,"11,714","$2,237,691",0.02%
LISTED EQUITY,-,-,-,-,HOYA CORP.,-,7741 JP,-,,"10,988","$2,237,452",0.02%
LISTED EQUITY,-,-,-,-,"DATADOG, INC.",-,DDOG US,-,,"9,646","$2,226,342",0.02%
LISTED EQUITY,-,-,-,-,VALERO ENERGY CORP.,-,VLO US,-,,"11,152","$2,208,052",0.02%
LISTED EQUITY,-,-,-,-,ALIBABA GROUP HOLDING LTD.,-,9988 HK,-,,"128,809","$2,206,842",0.02%
LISTED EQUITY,-,-,-,-,"METTLER-TOLEDO INTERNATIONAL, INC.",-,MTD US,-,,"1,116","$2,205,693",0.02%
LISTED EQUITY,-,-,-,-,LIFESTYLE COMMUNITIES LTD.,-,LIC AU,-,,"256,292","$2,193,857",0.02%
LISTED EQUITY,-,-,-,-,"HUBSPOT, INC.",-,HUBS US,-,,"1,938","$2,181,358",0.02%
LISTED EQUITY,-,-,-,-,"TEXTRON, INC.",-,TXT US,-,,"17,634","$2,178,492",0.02%
LISTED EQUITY,-,-,-,-,FAIRFAX FINANCIAL HOLDINGS LTD.,-,FFH CN,-,,970,"$2,177,574",0.02%
LISTED EQUITY,-,-,-,-,"ELECTRONIC ARTS, INC.",-,EA US,-,,"9,212","$2,176,602",0.02%
LISTED EQUITY,-,-,-,-,CENTENE CORP.,-,CNC US,-,,"22,126","$2,164,851",0.02%
LISTED EQUITY,-,-,-,-,DATA#3 LTD.,-,DTL AU,-,,"338,411","$2,162,449",0.02%
LISTED EQUITY,-,-,-,-,ILUKA RESOURCES LTD.,-,ILU AU,-,,"426,469","$2,153,665",0.02%
LISTED EQUITY,-,-,-,-,EURONEXT NV,-,ENX FP,-,,"11,830","$2,142,701",0.02%
LISTED EQUITY,-,-,-,-,HONDA MOTOR CO. LTD.,-,7267 JP,-,,"135,788","$2,142,069",0.02%
LISTED EQUITY,-,-,-,-,INFORMA PLC,-,INF LN,-,,"131,800","$2,128,556",0.02%
LISTED EQUITY,-,-,-,-,"MARVELL TECHNOLOGY, INC.",-,MRVL US,-,,"11,912","$2,124,868",0.02%
LISTED EQUITY,-,-,-,-,LYONDELLBASELL INDUSTRIES NV,-,LYB US,-,,"17,557","$2,106,063",0.02%
LISTED EQUITY,-,-,-,-,EQT HOLDINGS LTD.,-,EQT AU,-,,"65,755","$2,104,168",0.02%
LISTED EQUITY,-,-,-,-,"TRANSDIGM GROUP, INC.",-,TDG US,-,,"1,023","$2,093,336",0.02%
LISTED EQUITY,-,-,-,-,BARRICK GOLD CORP.,-,ABX CN,-,,"83,616","$2,093,073",0.02%
LISTED EQUITY,-,-,-,-,EDISON INTERNATIONAL,-,EIX US,-,,"16,174","$2,085,702",0.02%
LISTED EQUITY,-,-,-,-,RELIANCE INDUSTRIES LTD.,-,RELIANCE IN,-,,"90,779","$2,081,539",0.02%
LISTED EQUITY,-,-,-,-,NINTENDO CO. LTD.,-,7974 JP,-,,"21,837","$2,078,970",0.02%
LISTED EQUITY,-,-,-,-,TORONTO-DOMINION BANK,-,TD CN,-,,"24,140","$2,074,748",0.02%
LISTED EQUITY,-,-,-,-,"WASTE MANAGEMENT, INC.",-,WM US,-,,"6,363","$2,073,813",0.02%
LISTED EQUITY,-,-,-,-,KONINKLIJKE AHOLD DELHAIZE NV,-,AD NA,-,,"39,335","$2,071,608",0.02%
LISTED EQUITY,-,-,-,-,MEITUAN,-,3690 HK,-,,"65,565","$2,068,038",0.02%
LISTED EQUITY,-,-,-,-,"EXPEDIA GROUP, INC.",-,EXPE US,-,,"6,858","$2,064,039",0.02%
LISTED EQUITY,-,-,-,-,"CONSOLIDATED EDISON, INC.",-,ED US,-,,"14,312","$2,062,607",0.02%
LISTED EQUITY,-,-,-,-,EVERSOURCE ENERGY,-,ES US,-,,"22,233","$2,062,284",0.02%
LISTED EQUITY,-,-,-,-,"DELTA ELECTRONICS, INC.",-,2308 TT,-,,"97,047","$2,058,215",0.02%
LISTED EQUITY,-,-,-,-,"BLACKROCK, INC.",-,BLK US,-,,"1,240","$2,053,712",0.02%
LISTED EQUITY,-,-,-,-,DANAHER CORP.,-,DHR US,-,,"5,533","$2,051,407",0.02%
LISTED EQUITY,-,-,-,-,COMPASS GROUP PLC,-,CPG LN,-,,"38,038","$2,048,243",0.02%
LISTED EQUITY,-,-,-,-,APOLLO HOSPITALS ENTERPRISE LTD.,-,APHS IN,-,,"14,842","$2,042,963",0.02%
LISTED EQUITY,-,-,-,-,KONGSBERG GRUPPEN ASA,-,KOG NO,-,,"11,217","$2,041,783",0.02%
LISTED EQUITY,-,-,-,-,"GE VERNOVA, INC.",-,GEV US,-,,"3,838","$2,038,985",0.02%
LISTED EQUITY,-,-,-,-,"EBAY, INC.",-,EBAY US,-,,"20,253","$2,026,432",0.02%
LISTED EQUITY,-,-,-,-,CIGNA GROUP,-,CI US,-,,"4,538","$2,023,955",0.02%
LISTED EQUITY,-,-,-,-,"TWILIO, INC.",-,TWLO US,-,,"11,568","$2,019,441",0.02%
LISTED EQUITY,-,-,-,-,"ROCKWELL AUTOMATION, INC.",-,ROK US,-,,"4,354","$2,009,519",0.02%
LISTED EQUITY,-,-,-,-,SKYCITY ENTERTAINMENT GROUP LTD.,-,SKC AU,-,,"1,531,422","$2,006,163",0.02%
LISTED EQUITY,-,-,-,-,"INTERNATIONAL FLAVORS & FRAGRANCES, INC.",-,IFF US,-,,"14,600","$1,993,777",0.02%
LISTED EQUITY,-,-,-,-,ARCH CAPITAL GROUP LTD.,-,ACGL US,-,,"13,324","$1,987,335",0.02%
LISTED EQUITY,-,-,-,-,POLYNOVO LTD.,-,PNV AU,-,,"971,694","$1,982,256",0.02%
LISTED EQUITY,-,-,-,-,VULCAN STEEL LTD.,-,VSL AU,-,,"292,652","$1,975,398",0.02%
LISTED EQUITY,-,-,-,-,"DROPBOX, INC.",-,DBX US,-,,"40,679","$1,973,678",0.02%
LISTED EQUITY,-,-,-,-,"TOKIO MARINE HOLDINGS, INC.",-,8766 JP,-,,"33,515","$1,972,910",0.02%
LISTED EQUITY,-,-,-,-,NATIONAL BANK OF CANADA,-,NA CN,-,,"13,405","$1,972,734",0.02%
LISTED EQUITY,-,-,-,-,NOKIA OYJ,-,NOKIA FH,-,,"275,649","$1,970,586",0.02%
LISTED EQUITY,-,-,-,-,"TYSON FOODS, INC.",-,TSN US,-,,"21,154","$1,962,504",0.02%
LISTED EQUITY,-,-,-,-,"BROWN & BROWN, INC.",-,BRO US,-,,"11,867","$1,955,402",0.02%
LISTED EQUITY,-,-,-,-,"PPG INDUSTRIES, INC.",-,PPG US,-,,"10,109","$1,950,318",0.02%
LISTED EQUITY,-,-,-,-,CUSCAL LTD.,-,CCL AU,-,,"859,658","$1,942,827",0.02%
LISTED EQUITY,-,-,-,-,INFOSYS LTD.,-,INFY US,-,,"54,854","$1,942,031",0.02%
LISTED EQUITY,-,-,-,-,NUTRIEN LTD.,-,NTR US,-,,"26,798","$1,936,842",0.02%
LISTED EQUITY,-,-,-,-,CANADIAN NATIONAL RAILWAY CO.,-,CNR CN,-,,"11,808","$1,935,596",0.02%
LISTED EQUITY,-,-,-,-,UNILEVER PLC,-,ULVR LN,-,,"21,021","$1,933,870",0.02%
LISTED EQUITY,-,-,-,-,G8 EDUCATION LTD.,-,GEM AU,-,,"1,481,504","$1,933,362",0.02%
LISTED EQUITY,-,-,-,-,SYNCHRONY FINANCIAL,-,SYF US,-,,"18,381","$1,929,599",0.02%
LISTED EQUITY,-,-,-,-,ICON PLC,-,ICLR US,-,,"5,697","$1,929,575",0.02%
LISTED EQUITY,-,-,-,-,ADVANTEST CORP.,-,6857 JP,-,,"20,385","$1,926,984",0.02%
LISTED EQUITY,-,-,-,-,KEYERA CORP.,-,KEY CN,-,,"38,987","$1,924,724",0.02%
LISTED EQUITY,-,-,-,-,PARTNERS GROUP HOLDING AG,-,PGHN SW,-,,878,"$1,923,825",0.02%
LISTED EQUITY,-,-,-,-,ALDAR PROPERTIES PJSC,-,ALDAR UH,-,,"569,089","$1,921,845",0.02%
LISTED EQUITY,-,-,-,-,KDDI CORP.,-,9433 JP,-,,"37,040","$1,919,245",0.02%
LISTED EQUITY,-,-,-,-,HEINEKEN NV,-,HEIA NA,-,,"16,700","$1,918,740",0.02%
LISTED EQUITY,-,-,-,-,NORTHERN TRUST CORP.,-,NTRS US,-,,"11,578","$1,916,783",0.02%
LISTED EQUITY,-,-,-,-,"ILLUMINA, INC.",-,ILMN US,-,,"8,836","$1,906,968",0.02%
LISTED EQUITY,-,-,-,-,"ILLINOIS TOOL WORKS, INC.",-,ITW US,-,,"4,654","$1,906,000",0.02%
LISTED EQUITY,-,-,-,-,KINGDEE INTERNATIONAL SOFTWARE GROUP CO. LTD.,-,268 HK,-,,"1,074,312","$1,905,361",0.02%
LISTED EQUITY,-,-,-,-,KONINKLIJKE PHILIPS NV,-,PHIA NA,-,,"46,554","$1,899,757",0.02%
LISTED EQUITY,-,-,-,-,SUPER RETAIL GROUP LTD.,-,SUL AU,-,,"124,998","$1,897,464",0.02%
LISTED EQUITY,-,-,-,-,BOOZ ALLEN HAMILTON HOLDING CORP.,-,BAH US,-,,"9,039","$1,878,845",0.02%
LISTED EQUITY,-,-,-,-,CLOROX CO.,-,CLX US,-,,"7,158","$1,877,558",0.02%
LISTED EQUITY,-,-,-,-,TRACTOR SUPPLY CO.,-,TSCO US,-,,"21,678","$1,857,746",0.02%
LISTED EQUITY,-,-,-,-,AMPOL LTD.,-,ALD AU,-,,"65,525","$1,847,140",0.02%
LISTED EQUITY,-,-,-,-,"NIKE, INC.",-,NKE US,-,,"15,046","$1,838,936",0.02%
LISTED EQUITY,-,-,-,-,SEA LTD.,-,SE US,-,,"10,702","$1,833,831",0.02%
LISTED EQUITY,-,-,-,-,"ELEVANCE HEALTH, INC.",-,ELV US,-,,"3,078","$1,833,437",0.02%
LISTED EQUITY,-,-,-,-,GENTRACK GROUP LTD.,-,GTK AU,-,,"156,862","$1,818,029",0.02%
LISTED EQUITY,-,-,-,-,PEET LTD.,-,PPC AU,-,,"1,248,851","$1,817,078",0.02%
LISTED EQUITY,-,-,-,-,LOEWS CORP.,-,L US,-,,"13,251","$1,812,475",0.02%
LISTED EQUITY,-,-,-,-,"ALNYLAM PHARMACEUTICALS, INC.",-,ALNY US,-,,"4,747","$1,804,271",0.02%
LISTED EQUITY,-,-,-,-,"ZOOM COMMUNICATIONS, INC.",-,ZM US,-,,"13,664","$1,801,028",0.02%
LISTED EQUITY,-,-,-,-,TELKOM INDONESIA PERSERO TBK. PT,-,TLKM IJ,-,,"6,617,806","$1,799,684",0.02%
LISTED EQUITY,-,-,-,-,GLENCORE PLC,-,GLEN LN,-,,"249,874","$1,786,217",0.02%
LISTED EQUITY,-,-,-,-,"T-MOBILE U.S., INC.",-,TMUS US,-,,"5,003","$1,783,630",0.02%
LISTED EQUITY,-,-,-,-,EMERSON ELECTRIC CO.,-,EMR US,-,,"8,884","$1,778,364",0.02%
LISTED EQUITY,-,-,-,-,KRAFT HEINZ CO.,-,KHC US,-,,"35,830","$1,777,187",0.02%
LISTED EQUITY,-,-,-,-,"KINDER MORGAN, INC.",-,KMI US,-,,"40,114","$1,775,242",0.02%
LISTED EQUITY,-,-,-,-,ZALANDO SE,-,ZAL GR,-,,"32,754","$1,774,295",0.02%
LISTED EQUITY,-,-,-,-,COGNIZANT TECHNOLOGY SOLUTIONS CORP.,-,CTSH US,-,,"14,270","$1,772,356",0.02%
LISTED EQUITY,-,-,-,-,SAMSONITE INTERNATIONAL SA,-,1910 HK,-,,"389,744","$1,750,374",0.02%
LISTED EQUITY,-,-,-,-,"BDO UNIBANK, INC.",-,BDO PM,-,,"435,097","$1,749,390",0.02%
LISTED EQUITY,-,-,-,-,MCKESSON CORP.,-,MCK US,-,,"1,898","$1,747,308",0.02%
LISTED EQUITY,-,-,-,-,"KKR & CO., INC.",-,KKR US,-,,"7,288","$1,740,965",0.02%
LISTED EQUITY,-,-,-,-,QUALITAS LTD.,-,QAL AU,-,,"636,863","$1,738,636",0.02%
LISTED EQUITY,-,-,-,-,"CORE & MAIN, INC.",-,CNM US,-,,"21,142","$1,738,434",0.02%
LISTED EQUITY,-,-,-,-,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",-,EXPD US,-,,"9,708","$1,736,890",0.02%
LISTED EQUITY,-,-,-,-,"MS&AD INSURANCE GROUP HOLDINGS, INC.",-,8725 JP,-,,"48,995","$1,736,609",0.02%
LISTED EQUITY,-,-,-,-,VOLVO AB,-,VOLVB SS,-,,"44,203","$1,735,509",0.02%
LISTED EQUITY,-,-,-,-,LEONARDO SPA,-,LDO IM,-,,"39,952","$1,732,598",0.02%
LISTED EQUITY,-,-,-,-,LEGRAND SA,-,LR FP,-,,"11,003","$1,730,474",0.02%
LISTED EQUITY,-,-,-,-,AIRBUS SE,-,AIR FP,-,,"6,669","$1,726,402",0.02%
LISTED EQUITY,-,-,-,-,"CARLISLE COS., INC.",-,CSL US,-,,"2,891","$1,721,989",0.02%
LISTED EQUITY,-,-,-,-,SMARTGROUP CORP. LTD.,-,SIQ AU,-,,"220,915","$1,716,510",0.02%
LISTED EQUITY,-,-,-,-,J SAINSBURY PLC,-,SBRY LN,-,,"310,148","$1,716,454",0.02%
LISTED EQUITY,-,-,-,-,COBRAM ESTATE OLIVES LTD.,-,CBO AU,-,,"797,810","$1,715,291",0.02%
LISTED EQUITY,-,-,-,-,KOMATSU LTD.,-,6301 JP,-,,"38,284","$1,711,440",0.02%
LISTED EQUITY,-,-,-,-,"MCCORMICK & CO., INC.",-,MKC US,-,,"13,872","$1,708,132",0.02%
LISTED EQUITY,-,-,-,-,STRAUMANN HOLDING AG,-,STMN SW,-,,"8,346","$1,699,448",0.02%
LISTED EQUITY,-,-,-,-,AVERY DENNISON CORP.,-,AVY US,-,,"5,609","$1,695,289",0.02%
LISTED EQUITY,-,-,-,-,DAIICHI SANKYO CO. LTD.,-,4568 JP,-,,"37,316","$1,668,958",0.02%
LISTED EQUITY,-,-,-,-,CHECK POINT SOFTWARE TECHNOLOGIES LTD.,-,CHKP US,-,,"5,492","$1,655,969",0.02%
LISTED EQUITY,-,-,-,-,ING GROEP NV,-,INGA NA,-,,"65,417","$1,655,325",0.02%
LISTED EQUITY,-,-,-,-,UNITED THERAPEUTICS CORP.,-,UTHR US,-,,"2,899","$1,652,017",0.02%
LISTED EQUITY,-,-,-,-,"MONDELEZ INTERNATIONAL, INC.",-,MDLZ US,-,,"16,858","$1,626,356",0.02%
LISTED EQUITY,-,-,-,-,OTIS WORLDWIDE CORP.,-,OTIS US,-,,"10,819","$1,618,138",0.02%
LISTED EQUITY,-,-,-,-,"ACUITY BRANDS, INC.",-,AYI US,-,,"3,429","$1,617,847",0.02%
LISTED EQUITY,-,-,-,-,"MSCI, INC.",-,MSCI US,-,,"1,669","$1,617,261",0.02%
LISTED EQUITY,-,-,-,-,AXIS BANK LTD.,-,AXSB IN,-,,"80,310","$1,613,088",0.02%
LISTED EQUITY,-,-,-,-,TAKEDA PHARMACEUTICAL CO. LTD.,-,4502 JP,-,,"37,524","$1,612,288",0.02%
LISTED EQUITY,-,-,-,-,"INTERNATIONAL CONTAINER TERMINAL SERVICES, INC.",-,ICT PM,-,,"148,856","$1,604,324",0.02%
LISTED EQUITY,-,-,-,-,E.ON SE,-,EOAN GR,-,,"85,240","$1,603,099",0.02%
LISTED EQUITY,-,-,-,-,EDWARDS LIFESCIENCES CORP.,-,EW US,-,,"13,348","$1,595,988",0.02%
LISTED EQUITY,-,-,-,-,ZURICH INSURANCE GROUP AG,-,ZURN SW,-,,"1,659","$1,592,558",0.02%
LISTED EQUITY,-,-,-,-,MERCEDES-BENZ GROUP AG,-,MBG GR,-,,"17,656","$1,588,711",0.02%
LISTED EQUITY,-,-,-,-,MITSUBISHI HEAVY INDUSTRIES LTD.,-,7011 JP,-,,"69,519","$1,588,181",0.02%
LISTED EQUITY,-,-,-,-,MTU AERO ENGINES AG,-,MTX GR,-,,"2,943","$1,584,960",0.02%
LISTED EQUITY,-,-,-,-,"AMETEK, INC.",-,AME US,-,,"5,441","$1,584,161",0.02%
LISTED EQUITY,-,-,-,-,SEVERN TRENT PLC,-,SVT LN,-,,"31,207","$1,583,176",0.02%
LISTED EQUITY,-,-,-,-,GRAINCORP LTD.,-,GNC AU,-,,"215,590","$1,582,430",0.02%
LISTED EQUITY,-,-,-,-,PARKLAND CORP.,-,PKI CN,-,,"43,261","$1,579,445",0.02%
LISTED EQUITY,-,-,-,-,"BLACKSTONE, INC.",-,BX US,-,,"5,669","$1,578,767",0.02%
LISTED EQUITY,-,-,-,-,"ASSURANT, INC.",-,AIZ US,-,,"4,574","$1,575,161",0.02%
LISTED EQUITY,-,-,-,-,"BIOGEN, INC.",-,BIIB US,-,,"6,361","$1,571,059",0.02%
LISTED EQUITY,-,-,-,-,CONSTELLATION ENERGY CORP.,-,CEG US,-,,"4,330","$1,564,517",0.01%
LISTED EQUITY,-,-,-,-,HINDALCO INDUSTRIES LTD.,-,HNDL IN,-,,"136,791","$1,554,668",0.01%
LISTED EQUITY,-,-,-,-,WIX.COM LTD.,-,WIX US,-,,"4,484","$1,553,857",0.01%
LISTED EQUITY,-,-,-,-,BOEING CO.,-,BA US,-,,"5,434","$1,553,339",0.01%
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD US,-,,"4,192","$1,548,552",0.01%
LISTED EQUITY,-,-,-,-,"CHIPOTLE MEXICAN GRILL, INC.",-,CMG US,-,,"15,900","$1,548,462",0.01%
LISTED EQUITY,-,-,-,-,REGIS RESOURCES LTD.,-,RRL AU,-,,"606,860","$1,547,492",0.01%
LISTED EQUITY,-,-,-,-,"FORTUNE BRANDS INNOVATIONS, INC.",-,FBIN US,-,,"14,002","$1,545,325",0.01%
LISTED EQUITY,-,-,-,-,"ADVANCED DRAINAGE SYSTEMS, INC.",-,WMS US,-,,"8,260","$1,542,195",0.01%
LISTED EQUITY,-,-,-,-,VOLTRONIC POWER TECHNOLOGY CORP.,-,6409 TT,-,,"16,765","$1,536,235",0.01%
LISTED EQUITY,-,-,-,-,PEMBINA PIPELINE CORP.,-,PPL CN,-,,"25,726","$1,534,374",0.01%
LISTED EQUITY,-,-,-,-,"GQG PARTNERS, INC.",-,GQG AU,-,,"740,669","$1,533,184",0.01%
LISTED EQUITY,-,-,-,-,TORO CO.,-,TTC US,-,,"11,847","$1,532,672",0.01%
LISTED EQUITY,-,-,-,-,"JACK HENRY & ASSOCIATES, INC.",-,JKHY US,-,,"5,413","$1,532,550",0.01%
LISTED EQUITY,-,-,-,-,STANDARD CHARTERED PLC,-,STAN LN,-,,"76,621","$1,532,207",0.01%
LISTED EQUITY,-,-,-,-,ON HOLDING AG,-,ONON US,-,,"17,258","$1,526,636",0.01%
LISTED EQUITY,-,-,-,-,AUTO TRADER GROUP PLC,-,AUTO LN,-,,"94,904","$1,522,317",0.01%
LISTED EQUITY,-,-,-,-,INCYTE CORP.,-,INCY US,-,,"13,602","$1,517,426",0.01%
LISTED EQUITY,-,-,-,-,GRAB HOLDINGS LTD.,-,GRAB US,-,,"198,856","$1,515,949",0.01%
LISTED EQUITY,-,-,-,-,"NVR, INC.",-,NVR US,-,,114,"$1,506,203",0.01%
LISTED EQUITY,-,-,-,-,GWA GROUP LTD.,-,GWA AU,-,,"620,193","$1,500,867",0.01%
LISTED EQUITY,-,-,-,-,"MEDIATEK, INC.",-,2454 TT,-,,"21,422","$1,493,324",0.01%
LISTED EQUITY,-,-,-,-,RELX PLC,-,REN NA,-,,"20,404","$1,491,899",0.01%
LISTED EQUITY,-,-,-,-,"PULTEGROUP, INC.",-,PHM US,-,,"8,401","$1,477,728",0.01%
LISTED EQUITY,-,-,-,-,NITTO DENKO CORP.,-,6988 JP,-,,"53,555","$1,475,024",0.01%
LISTED EQUITY,-,-,-,-,REECE LTD.,-,REH AU,-,,"65,720","$1,470,814",0.01%
LISTED EQUITY,-,-,-,-,"OKTA, INC.",-,OKTA US,-,,"11,550","$1,469,979",0.01%
LISTED EQUITY,-,-,-,-,NARI TECHNOLOGY CO. LTD.,-,600406 C1,-,,"262,122","$1,462,766",0.01%
LISTED EQUITY,-,-,-,-,BOC HONG KONG HOLDINGS LTD.,-,2388 HK,-,,"280,561","$1,455,441",0.01%
LISTED EQUITY,-,-,-,-,DEERE & CO.,-,DE US,-,,"2,125","$1,454,147",0.01%
LISTED EQUITY,-,-,-,-,UNILEVER PLC,-,UNA NA,-,,"15,843","$1,454,110",0.01%
LISTED EQUITY,-,-,-,-,"DT MIDSTREAM, INC.",-,DTM US,-,,"9,032","$1,450,433",0.01%
LISTED EQUITY,-,-,-,-,GAZTRANSPORT ET TECHNIGAZ SA,-,GTT FP,-,,"6,730","$1,447,471",0.01%
LISTED EQUITY,-,-,-,-,XIAOMI CORP.,-,1810 HK,-,,"200,677","$1,439,507",0.01%
LISTED EQUITY,-,-,-,-,CHINA RESOURCES BEER HOLDINGS CO. LTD.,-,291 HK,-,,"273,996","$1,438,476",0.01%
LISTED EQUITY,-,-,-,-,"IDEXX LABORATORIES, INC.",-,IDXX US,-,,"2,144","$1,431,393",0.01%
LISTED EQUITY,-,-,-,-,MAX HEALTHCARE INSTITUTE LTD.,-,MAXHEALT IN,-,,"67,251","$1,431,283",0.01%
LISTED EQUITY,-,-,-,-,FAIR ISAAC CORP.,-,FICO US,-,,445,"$1,428,800",0.01%
LISTED EQUITY,-,-,-,-,SITEMINDER LTD.,-,SDR AU,-,,"236,501","$1,428,468",0.01%
LISTED EQUITY,-,-,-,-,"FERGUSON ENTERPRISES, INC.",-,FERG US,-,,"5,086","$1,425,795",0.01%
LISTED EQUITY,-,-,-,-,"CLEAN HARBORS, INC.",-,CLH US,-,,"3,785","$1,407,080",0.01%
LISTED EQUITY,-,-,-,-,PAYLOCITY HOLDING CORP.,-,PCTY US,-,,"4,350","$1,401,451",0.01%
LISTED EQUITY,-,-,-,-,ALIBABA GROUP HOLDING LTD.,-,BABA US,-,,"10,193","$1,395,952",0.01%
LISTED EQUITY,-,-,-,-,"GUIDEWIRE SOFTWARE, INC.",-,GWRE US,-,,"5,120","$1,394,024",0.01%
LISTED EQUITY,-,-,-,-,"HASBRO, INC.",-,HAS US,-,,"15,412","$1,391,675",0.01%
LISTED EQUITY,-,-,-,-,SERVICE CORP. INTERNATIONAL,-,SCI US,-,,"10,760","$1,387,180",0.01%
LISTED EQUITY,-,-,-,-,TECHNIPFMC PLC,-,FTI US,-,,"29,648","$1,385,801",0.01%
LISTED EQUITY,-,-,-,-,ADVANTECH CO. LTD.,-,2395 TT,-,,"80,851","$1,380,146",0.01%
LISTED EQUITY,-,-,-,-,"ANALOG DEVICES, INC.",-,ADI US,-,,"4,008","$1,375,339",0.01%
LISTED EQUITY,-,-,-,-,ASSA ABLOY AB,-,ASSAB SS,-,,"28,773","$1,374,464",0.01%
