BAJAJ FINSERV LTD INR1 POST SUB,INE918I01026        ,1012,29942,0.00%
BAKER HUGHES COMPANY,US05722G1004        ,516,34197,0.00%
BAKKAVOR GROUP PLC,GB00BF8J3Z99        ,176,521,0.00%
BALFOUR BEATTY PLC,GB0000961622        ,324,2980,0.00%
BALL CORP COM NPV,US0584981064        ,163,14539,0.00%
BALOISE HOLDING-REG,CH0012410517        ,13,3818,0.00%
BALTIC CLASSIFIEDS GROUP PLC,GB00BN44P254        ,229,1459,0.00%
BANCA POPOL EMILIA ROMAGNA,IT0000066123        ,370,3801,0.00%
BANCO BICAYA ARGENTARIA SA,ES0113211835        ,3149,49780,0.00%
BANCO BPM SPA,IT0005218380        ,388,5065,0.00%
BANCO BRADESCO SA-PREF,BRBBDCACNPR8        ,681,2058,0.00%
BANCO DE SABADELL SA,ES0113860A34        ,2331,7317,0.00%
BANCO DEL BAJIO SA INSTITUCION DE BANCA MULTIPLE,MX41BB000000        ,1431,4642,0.00%
BANCO SANTANDER -GBP,ES0113900J37        ,8614,64321,0.00%
BANDAI NAMCO HOLDINGS NPV,JP3778630008        ,179,6963,0.00%
BANG & OLUFSEN DKK10,DK0010218429        ,596,1255,0.00%
BANK CENTRAL ASIA TBK PT,ID1000109507        ,756221,734198,0.02%
BANK HAPOALIM LTD,IL0006625771        ,542,10581,0.00%
BANK LEUMI LE-ISRAEL,IL0006046119        ,808,15535,0.00%
BANK MANDIRI PERS IDR125,ID1000095003        ,642967,367770,0.01%
BANK OF AMERICA CORPORATION,US0605051046        ,74526,5290171,0.14%
BANK OF CHANGSHA CO LTD,CNE100003F50        ,10853,21349,0.00%
BANK OF CHINA LTD HK,CNE1000001Z5        ,17268,14254,0.00%
BANK OF GEORGIA GR ORD,GB00BF4HYT85        ,18,1691,0.00%
BANK OF INNOVATION INC,JP3778460000        ,293,20449,0.00%
BANK OF IRELAND GROUP,IE00BD1RP616        ,628,9210,0.00%
BANK OF MONTREAL CAD,CA0636711016        ,220,34508,0.00%
BANK OF NANJING CO LTD,CNE100000627        ,68860,162271,0.00%
BANK OF NEW YORK MELLON CORP,US0640581007        ,3636,451237,0.01%
BANK OF NOVA SCOTIA CAD,CA0641491075        ,373,32313,0.00%
BANK OF QINGDAO CO LTDA,CNE100003K38        ,4653,3995,0.00%
BANK OF QUEENSLAND,AU000000BOQ8        ,20012,134079,0.00%
BANQUE CANTONALE VAUDOISE,CH0531751755        ,7,995,0.00%
BAOZUN INC,KYG0891M1069        ,6738,10354,0.00%
BAOZUN INC,US06684L1035        ,5949,26137,0.00%
BAPCOR LIMITED ORDINARY FULLY PAID,AU000000BAP9        ,8211,38758,0.00%
BARCLAYS PLC,GB0031348658        ,7886,42776,0.00%
BARCO NPV POST SPLIT,BE0974362940        ,474,8313,0.00%
BARRATT REDROW PLC,GB0000811801        ,586,5220,0.00%
BARRICK GOLD CORP,CA0679011084        ,955,23904,0.00%
BARRY CALLEBAUT AG - REG,CH0009002962        ,1,2194,0.00%
BASF SE,DE000BASF111        ,269,19079,0.00%
BAXTER INTERNATIONAL INC EQUITY,US0718131099        ,277,13025,0.00%
BAYER AG,DE000BAY0017        ,296,9553,0.00%
BAYERISCHE MOTOREN WERKE AG,DE0005190003        ,87,11526,0.00%
BAYERISCHE MOTOREN WERKE-PFD,DE0005190037        ,17,2034,0.00%
BB SEGURIDADE PARTICIPACOES COM NPV,BRBBSEACNOR5        ,19131,180953,0.00%
BB SEGURIDADE PARTISPON ADR,US05541J1034        ,505,4784,0.00%
BDO UNIBANK INC,PHY077751022        ,33203,133501,0.00%
BE SEMICONDUCTOR EUR0,NL0012866412        ,2845,629469,0.02%
BECHTLE AG,DE0005158703        ,23,1215,0.00%
BECTON DICKINSON AND COMPANY,US0758871091        ,148,54149,0.00%
BEGA CHEESE LIMITED,AU000000BGA8        ,6875,39667,0.00%
BEIERSDORF AG,DE0005200000        ,30,6194,0.00%
BEIJER REF AB SER`B`NPV,SE0015949748        ,103,2453,0.00%
BEIJING JOIN CHEER SOFTWARE CO LTD,CNE000001QL7        ,13217,18337,0.00%
BELLEVUE GOLD LIMITED ORDINARY FULLY PAID,AU0000019374        ,576205,648230,0.02%
BELLWAY GBP0.125,GB0000904986        ,60,3049,0.00%
BENDIGO AND ADELAIDE BANK LIMITED,AU000000BEN6        ,18016,236013,0.01%
BENTLEY SYSTEMS INC,US08265T2087        ,47,3559,0.00%
BERKELEY GROUP HOLDINGS ORD GBP0.05611047,GB00BP0RGD03        ,29,2299,0.00%
BERKSHIRE HATHAWAY INC - CLASS B,US0846707026        ,1012,740888,0.02%
BEST BUY CO INC,US0865161014        ,134,18629,0.00%
BHARAT ELECTRONICS LTD,INE263A01024        ,4776,26415,0.00%
BHP GROUP LIMITED ORDINARY FULLY PAID,AU000000BHP4        ,848596,33561956,0.89%
BICARA THERAPEUTICS INC,US0554771032        ,434,12201,0.00%
BIMOBJECT AB,SE0011644376        ,187,122,0.00%
BIO RAD LABORATORIES INC CLASS A,US0905722072        ,6,3338,0.00%
BIO TECHNE CORP,US09073M1045        ,90,10493,0.00%
BIOGEN INC,US09062X1037        ,78,19274,0.00%
BIOHAVEN LTD,VGG1110E1079        ,1189,71700,0.00%
BIOMARIN PHARMACEUTICAL INC,US09061G1013        ,71,7514,0.00%
BIOMERIEUX NPV,FR0013280286        ,12,2045,0.00%
BLACKLINE SAFETY CORP,CA0923821007        ,757,5805,0.00%
BLACKROCK INC,US09290D1019        ,76,125427,0.00%
BLACKSTONE  INC,US09260D1072        ,369,102673,0.00%
BLEND LABS ORD SHS CLASS A,US09352U1088        ,2008,13656,0.00%
BLOCK INC,US8522341036        ,8133,1116379,0.03%
BLOCK INC CDI,AU0000187353        ,3757,529724,0.01%
BLOOMSBURY PUBLISHING PLC,GB0033147751        ,50,687,0.00%
BLUE STAR ORD SHS,INE472A01039        ,109,4406,0.00%
BLUEPRINT MEDICINES CORP,US09627Y1091        ,189,26590,0.00%
BLUESCOPE STEEL LIMITED,AU000000BSL0        ,72578,1356476,0.04%
BNP PARIBAS SA,FR0000131104        ,5794,573903,0.02%
BNP PARIBAS SA,US05565A2024        ,1035,51299,0.00%
BANK OF CHINA HONG KONG (HOLDINGS) LIMITED,HK2388011192        ,1117,5793,0.00%
BODYCOTE PLC,GB00B3FLWH99        ,120,1536,0.00%
BOEING CO COM US$5,US0970231058        ,2190,626171,0.02%
BOLIDEN ORD SHS,SE0020050417        ,82,3737,0.00%
BOLLORE SE,FR0000039299        ,203,2018,0.00%
BOOKING HOLDINGS INC COM,US09857L1089        ,37,298667,0.01%
BOOZ ALLEN HAMILTON A CS USD,US0995021062        ,39,8173,0.00%
BORGWARNER INC,US0997241064        ,57,2945,0.00%
BOSIDENG INTERNATIONAL HOLDING,KYG126521064        ,186758,150664,0.00%
BOSS ENERGY LTD,AU000000BOE4        ,11746,28542,0.00%
BOSTON SCIENTIFIC CORP COM USD,US1011371077        ,12819,1849319,0.05%
BOUYGUES,FR0000120503        ,54,2579,0.00%
BP P.L.C,GB0007980591        ,6936,55141,0.00%
BRAMBLES LIMITED,AU000000BXB1        ,51013,981483,0.03%
BRAVURA SOLUTIONS LIMITED ORDINARY FULLY PAID,AU000000BVS9        ,6809,15320,0.00%
BREEDON GROUP PLC,GB00BM8NFJ84        ,187,1683,0.00%
BRENNTAG SE,DE000A1DAHH0        ,39,3786,0.00%
BREVILLE GROUP LIMITED,AU000000BRG2        ,2445,86512,0.00%
BRIDGEBIO PHARMA INC,US10806X1028        ,895,39649,0.00%
BRIDGEPOINT GROUP,GB00BND88V85        ,182,1323,0.00%
BRIDGESTONE CORP,JP3830800003        ,171,9408,0.00%
BRIGHTCOVE INC,US10921T1016        ,1769,12430,0.00%
BRILLIANCE CHINA AUTOMOTIVE HLDGS LTD,BMG1368B1028        ,59510,47266,0.00%
BRISTOL MYERS SQUIBB COMPANY,US1101221083        ,1030,94096,0.00%
BRITANNIA INDUSTRIES LTD,INE216A01030        ,115,10377,0.00%
BRITVIC PLC,GB00B0N8QD54        ,151,3990,0.00%
BROADCOM ORD SHS,US11135F1012        ,19820,7421578,0.20%
BROADRIDGE FINANCIAL SOLUTIONS LLC,US11133T1034        ,61,22293,0.00%
BROOKFIELD ASSET MNGMT CL A ORD,CA1130041058        ,107,9364,0.00%
BROOKFIELD CORP,CA11271J1075        ,412,38234,0.00%
BROOKFIELD RENEWA. CL A EXCH SUB VOTING SHS TEMP,CA11285B1085        ,81,3636,0.00%
BROTHER INDUSTRIES LTD,JP3830000000        ,66,1831,0.00%
BROWN BROWN INC,US1152361010        ,126,20746,0.00%
BROWN FORMAN CORP,US1156372096        ,115,7025,0.00%
BUILDERS FIRSTSOURCE INC,US12008R1077        ,61,14163,0.00%
BUNGE GLOBAL SA COM USD0.01,CH1300646267        ,89,11235,0.00%
BUNZL PLC,GB00B0744B38        ,101,6743,0.00%
BURBERRY GROUP PLC,GB0031743007        ,180,3560,0.00%
BUREAU VERITAS SA,FR0006174348        ,96,4693,0.00%
BURGUNDY DIAMOND MINES LIMITED ORDINARY FULLY PAID,AU0000118994        ,58114,5172,0.00%
BURLINGTON STORES INC,US1220171060        ,27,12518,0.00%
BURSA MALAYSIA BERHAD,MYL1818OO003        ,7646,24745,0.00%
BUYSELL TECHNOLOGIES ORD SHS,JP3778270003        ,666,18593,0.00%
BYTES TECHNOLOGY LTD,GB00BMH18Q19        ,131,1117,0.00%
C.H. ROBINSON WORLDWIDE INC,US12541W2098        ,64,10716,0.00%
CABOT OIL AND GAS CORP,US1270971039        ,395,16296,0.00%
CADENCE DESIGN SYSTEMS INC,US1273871087        ,2247,1090210,0.03%
CAE INC,CA1247651088        ,91,3739,0.00%
CAESARS ENTERTAINMENT INC,US12769G1004        ,54,2904,0.00%
CAMDEN NATIONAL CORP,US1330341082        ,962,66432,0.00%
CANADIAN IMPERIAL BANK OF COMMERCE COM NPV,CA1360691010        ,283,28910,0.00%
CANADIAN NATIONAL RAILWAY COMPANY,CA1363751027        ,231,37831,0.00%
CANADIAN NATURAL RESOURCES ORD SHS,CA1363851017        ,637,31747,0.00%
CANADIAN PACIFIC KANSAS CITY,CA13646K1084        ,282,32907,0.00%
CANADIAN TIRE CLASS 'A' CUM NON-VTG COM NPV,CA1366812024        ,14,2404,0.00%
CANALSA,FR001400T0D6        ,206,844,0.00%
CANON INC,JP3242800005        ,508,26918,0.00%
CAPCOM CO LTD,JP3218900003        ,3170,113182,0.00%
CAPGEMINI SA,FR0000125338        ,1685,445687,0.01%
CAPITAL ONE FINANCIAL CORPORATION,US14040H1059        ,241,69405,0.00%
CAPRICORN METALS LTD ORDINARY FULLY PAID,AU000000CMM9        ,41244,259014,0.01%
CAPSTONE COPPER CO COM NPV,CA14071L1085        ,11893,118737,0.00%
CAPSTONE COPPER CORP CDI,AU0000318552        ,123042,1207043,0.03%
CARSALES COM LTD,AU000000CAR3        ,41117,1481449,0.04%
CARDINAL HEALTH INC,US14149Y1082        ,128,24422,0.00%
CARGO THERAPEUTICS ORD SHS,US14179K1016        ,598,13917,0.00%
CARL ZEISS MEDITEC NPV,DE0005313704        ,11,874,0.00%
CARLISLE COS INC,US1423391002        ,14,8433,0.00%
CARLSBERG AS - B,DK0010181759        ,37,5651,0.00%
CARLYLE GROUP INC,US14316J1088        ,69,5643,0.00%
CARMAX INC,US1431301027        ,86,11291,0.00%
CARNIVAL CORP USD,PA1436583006        ,2907,117011,0.00%
CARREFOUR SA,FR0000120172        ,163,3749,0.00%
CARRIER GLOBAL CORPORATION,US14448C1045        ,424,46746,0.00%
CARVANA CO,US1468691027        ,1236,405988,0.01%
CATAPULT GROUP INTERNATIONAL LTD ORDINARY FULLY PAID,AU000000CAT9        ,7246,26882,0.00%
CATERPILLAR INC,US1491231015        ,247,144867,0.00%
COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+2.85% PERP NON-CUM RED T-06-28,AU0000247348        ,92017,9560445,0.25%
CBOE GLOBAL MARKET,US12503M1080        ,56,17610,0.00%
CCL INDUSTRIES INC,CA1249003098        ,46,3788,0.00%
CD PROJEKT SA,PLOPTTC00011        ,1265,94713,0.00%
CD PROJEKT SA,US1251051066        ,181,3374,0.00%
CDW CORP,US12514G1085        ,223,62798,0.00%
CECONOMY AG ORD NPV,DE0007257503        ,642,2828,0.00%
CELANESE CORP SERIES A,US1508701034        ,70,7835,0.00%
CELLDEX THERAPEUTICS INC,US15117B2025        ,1734,70773,0.00%
CELSIUS HOLDINGS INC,US15118V2079        ,3577,152186,0.00%
CENCORA INC COM,US03073E1055        ,1794,650838,0.02%
CENOVUS ENERGY INC COM NPV,CA15135U1093        ,1487,36380,0.00%
CENTENE CORPORATION,US15135B1017        ,675,66070,0.00%
CENTRAL CHINA LAND MEDIA CO LTD,CNE0000000X4        ,8953,22506,0.00%
CENTRAL JAPAN RAILWAY CO,JP3566800003        ,233,7093,0.00%
CF INDUSTRIES HOLDINGS INC,US1252691001        ,98,13531,0.00%
CG ONCOLOGY ORD SHS,US1569441009        ,341,15798,0.00%
CG POWER AND INDUSTRIAL SOLUTIONS LTD,INE067A01029        ,5412,74328,0.00%
CGI INC,CA12532H1047        ,111,19720,0.00%
CHAILEASE HOLDING CO LTD,KYG202881093        ,6836,38054,0.00%
CHALLENGER LIMITED,AU000000CGF5        ,25076,150709,0.00%
CHAMPION IRON LTD,AU000000CIA2        ,2541,14609,0.00%
CHANGJIANG JINGGONG BUILA,CNE000001BH7        ,3372,2254,0.00%
CHANGZHENG ENGINEERING CO A,CNE100001VQ5        ,2175,7487,0.00%
CHARLES RIVER LABORATORIES INTERNATIONAL INC,US1598641074        ,30,8986,0.00%
CHARTER COMMUNICATIONS INC,US16119P1084        ,73,40367,0.00%
CHECK POINT SOFTWARE TECH,IL0010824113        ,38,11522,0.00%
CHELVETIA HOLDING CHF0.02 POST SUBD,CH0466642201        ,11,2818,0.00%
CHESAPEAKE ENERGY COM USD0.01,US1651677353        ,61,9863,0.00%
CHEVRON CORP,US1667641005        ,869,203219,0.01%
CHIBA BANK LTD JPY,JP3511800009        ,151,1897,0.00%
CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED,CNE1000002G3        ,3766,3571,0.00%
CHINA CONSTRUCTION BANK,CNE1000002H1        ,11705,15770,0.00%
CHINA EASTERN AIRLINES CORPORATION LTD,CNE1000002K5        ,6142,3308,0.00%
CHINA HAINAN RUBBER INDUSTRY GROUP CO LTD,CNE100000YM0        ,1990,2383,0.00%
CHINA LIFE INSURANCE CO LTD,CNE1000002L3        ,956,2918,0.00%
CHINA MENGNIU DAIRY CO,KYG210961051        ,30917,112879,0.00%
CHINA MERCHANTS BANK CO LIMITED,CNE1000002M1        ,493,4096,0.00%
CHINA MERCHANTS PORT GROUPA,CNE000000818        ,3265,14790,0.00%
CHINA PACIFIC INSURANCE GR H,CNE1000009Q7        ,78397,410771,0.01%
CHINA PACIFIC INSURANCE GROUP CO LTD,CNE1000008M8        ,545,4107,0.00%
CHINA PETROLEUM & CHEMICAL,CNE1000002Q2        ,289554,267909,0.01%
CHINA RAILWAY SIGNAL AND COMMUNICATION CORP LTD,CNE1000021L3        ,44647,32212,0.00%
CHINA REINSURANCE GROUP CORP,CNE100002342        ,97986,17725,0.00%
CHINA RESOURCES BUILDING MATERIALS TECHNOLOGY HOLDINGS,KYG2113L1068        ,11299,3736,0.00%
CHINA STATE CONSTRUCTION INTERNATIONAL HOLDINGS LIMITED,KYG216771363        ,20339,51846,0.00%
CHINA YANGTZE POWER CO LTD,CNE000001G87        ,17909,117098,0.00%
CHINA ZHESHANG BANK CO LTDH,CNE1000025S9        ,126408,58348,0.00%
CHIPOTLE MEXICAN GRILL ORD,US1696561059        ,1036,100898,0.00%
CHOLAMANDALAM INVEST AND FINANCE COMPANY LTD,INE121A01024        ,3014,67436,0.00%
CHOW SANG SANG HLDG,BMG2113M1203        ,49433,66705,0.00%
CHUBB LIMITED ORD,CH0044328745        ,193,86187,0.00%
CHUGAI PHARMACEUTICAL JPY,JP3519400000        ,15225,1095122,0.03%
CHURCH & DWIGHT CO,US1713401024        ,131,22093,0.00%
CIENA CORP,US1717793095        ,2983,408559,0.01%
CINCINNATI FINANCIAL CORP,US1720621010        ,192,44575,0.00%
CINEPLEX INC,CA1724541000        ,3459,47385,0.00%
CINTAS CORP,US1729081059        ,708,209056,0.01%
CIPLA LIMITED,INE059A01026        ,1348,38878,0.00%
CISCO SYSTEMS INC,US17275R1023        ,19128,1828923,0.05%
CITIGROUP INC USD,US1729674242        ,19733,2243419,0.06%
CITYCHAMP WATCH AND JEWELLERY GROUP LTD,KYG2161T1004        ,25438,4390,0.00%
CJ CORP PREFERENCE S1,KR7001041003        ,52,3255,0.00%
CJ CORPORATION,KR7001040005        ,100,10915,0.00%
CK HUTCHISON HOLDINGS LTD,KYG217651051        ,1462,12614,0.00%
CLAL INSURANCE ENTERPRISE HOLDINGS LIMITED,IL0002240146        ,167,6337,0.00%
CLARIANT AG REG,CH0012142631        ,48,863,0.00%
CLARKSON PLC,GB0002018363        ,17,1324,0.00%
CLEAN SCIENCE AND TECHNOLOGY LTD,INE227W01023        ,401,10758,0.00%
CLEANAWAY WASTE MANAGEMENT LIMITED,AU000000CWY3        ,452020,1197854,0.03%
CLIMB GLOBAL SOLUTIONS INC,US9467601053        ,16,3304,0.00%
CLINUVEL PHARMACEUTICALS LTD,AU000000CUV3        ,1201,14489,0.00%
CLOROX CO DEL,US1890541097        ,67,17456,0.00%
CLOUDFLARE INC,US18915M1071        ,91,15865,0.00%
CMC MARKETS PLC,GB00B14SKR37        ,66,330,0.00%
CME GROUP INC COM,US12572Q1058        ,2987,1120356,0.03%
CMST DEVELOPMENT CO LTD,CNE000000NS1        ,33400,47151,0.00%
CNH INDUSTRIAL NV COM,NL0010545661        ,264,4835,0.00%
COAST ENTERTAINMENT HOLDINGS LIMITED ORDINARY FULLY PAID,AU0000314254        ,9726,4766,0.00%
COATS GROUP PLC,GB00B4YZN328        ,981,1873,0.00%
COCA COLA CO USD,US1912161007        ,7758,780135,0.02%
COCA COLA HBC AG ORD,CH0198251305        ,63,3456,0.00%
COCA-COLA EUROPACIFIC PARTNERS,GB00BDCPN049        ,63,7805,0.00%
COCHLEAR LIMITED,AU000000COH5        ,5157,1494948,0.04%
CODAN LIMITED,AU000000CDA3        ,397,6399,0.00%
COFOE MEDICAL TECHNOLOGY CA,CNE100004Y98        ,1624,12705,0.00%
COGNIZANT TECH SOLUTIONS A,US1924461023        ,886,110001,0.00%
COINBASE GLOBAL INC,US19260Q1076        ,58,23338,0.00%
COLES GROUP LTD,AU0000030678        ,207767,3924718,0.10%
COLGATE PALMOLIVE,US1941621039        ,8934,1311812,0.03%
COLLINS FOODS LIMITED,AU000000CKF7        ,3075,22322,0.00%
COLOPLAST,DK0060448595        ,38,6695,0.00%
COMCAST CORP,US20030N1019        ,2922,177096,0.00%
COMMERZBANK AG NPV,DE000CBK1001        ,285,7503,0.00%
COMMONWEALTH BANK OF AUSTRALIA,AU000000CBA7        ,207856,31853983,0.84%
COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+3.40% PERP NON-CUM RED T-04-25,AU0000003832        ,91528,9235186,0.24%
COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+3.00% PERP NON-CUM RED T-04-27,AU0000061327        ,13749,1422287,0.04%
COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+2.75% PERP NON-CUM RED T-06-29,AU0000215618        ,222065,22961499,0.61%
COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+2.75% PERP NON-CUM RED T-10-26,AU0000138927        ,29275,3000658,0.08%
COMPAGNIE DE SAINT-GOBAIN,FR0000125007        ,137,19572,0.00%
COMPAGNIE FINANCIERE RICHEMONT SA,CH0210483332        ,3440,845455,0.02%
COMPASS GROUP ORD,GB00BD6K4575        ,8111,436755,0.01%
COMPASS GROUP PLC,US20449X4016        ,120,6496,0.00%
COMPUTACENTER PLC,GB00BV9FP302        ,38,1628,0.00%
COMPUTERSHARE LTD,AU000000CPU5        ,18558,630049,0.02%
CONAGRA BRANDS INC,US2058871029        ,262,11721,0.00%
CONCORDIA FINANCIAL GROUP LTD,JP3305990008        ,299,2675,0.00%
CONOCOPHILLIPS,US20825C1045        ,12174,1949924,0.05%
CONSTELLATION BRANDS INC-A,US21036P1084        ,83,29750,0.00%
CONSTELLATION SOFTWARE COM,CA21037X1006        ,11,55701,0.00%
CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CNE100003662        ,5988,352450,0.01%
CONTINENTAL AG,DE0005439004        ,31,3400,0.00%
COOPER COS INC COM USD0.10 (P/S),US2166485019        ,468,69426,0.00%
COPART INC,US2172041061        ,5212,483147,0.01%
COREBRIDGE FINANCIAL ORD,US21871X1090        ,80,3878,0.00%
CORECARD CORP,US45816D1000        ,345,12646,0.00%
CORNING INC,US2193501051        ,5262,403892,0.01%
COROMANDEL INTERNATIONAL LTD,INE169A01031        ,390,13824,0.00%
CORPAY INC COM USD 0.001,US2199481068        ,587,320791,0.01%
CORPORATE TRAVEL MANAGEMENT LIMITED,AU000000CTD3        ,2496,33072,0.00%
CORTEVA INC,US22052L1044        ,359,33056,0.00%
COSCO SHIPPING  DEVELOPMENT CO,CNE100000536        ,100448,21721,0.00%
COSTCO WHOLESALE CORP,US22160K1051        ,225,332906,0.01%
COUPANG INC COM CL A SHS ORD,US22266T1097        ,8586,304812,0.01%
COVESTRO AG NPV,DE000A40KY26        ,79,7631,0.00%
COWAY CO LTD,KR7021240007        ,3,221,0.00%
CP SEVEN ELEVEN PCL - FOREIGN,TH0737010Y16        ,29496,78944,0.00%
CPI CARD GROUP ORD HS,US12634H2004        ,160,7719,0.00%
CRANSWICK PLC,GB0002318888        ,32,3186,0.00%
CREDICORP LIMITED,BMG2519Y1084        ,9,2539,0.00%
CREDIT AGRICOLE SA,FR0000045072        ,320,7121,0.00%
CREDIT CORP GROUP LIMITED,AU000000CCP3        ,1466,23438,0.00%
CREST NICHOLSON HOLDINGS PLC,GB00B8VZXT93        ,127,435,0.00%
CRH PUBLIC LIMITED ORD SHS,IE0001827041        ,206,30810,0.00%
CRINETICS PHARMACEUTICALS INC,US22663K1079        ,361,29783,0.00%
CRITERIA CAIXACORP SA,ES0140609019        ,109053,954971,0.03%
CRODA INTERNATIONAL PLC,GB00BJFFLV09        ,38,2590,0.00%
CROMPTON GREAVES CONSUMER ELECTRICALS LTD,INE299U01018        ,2466,18410,0.00%
CROWDSTRIKE HOLDINGS INC,US22788C1053        ,936,517039,0.01%
CROWN HOLDINGS INC,US2283681060        ,36,4831,0.00%
CRYSTAL INTERNATIONAL GROUP LTD,KYG2701R1011        ,4752,4317,0.00%
CSL LIMITED,AU000000CSL8        ,75471,21251035,0.56%
CSX CORP COM,US1264081035        ,995,51872,0.00%
CTS EVENTIM AG AND CO. KGAA,DE0005470306        ,19,2567,0.00%
CUMMINS INC,US2310211063        ,70,39522,0.00%
CUMMINS INDIA LTD,INE298A01020        ,508,31382,0.00%
CVC CAPITAL PARTNERS PLC,JE00BRX98089        ,79,2814,0.00%
CVS HEALTH CORP,US1266501006        ,646,46844,0.00%
CYBERARK SOFTWARE LTD,IL0011334468        ,18,9545,0.00%
CYTOKINETICS INC,US23282W6057        ,1128,85700,0.00%
D LINK CORP,TW0002332004        ,4954,6212,0.00%
DAI ICHI LIFE HOLD NPV,JP3476480003        ,388,16886,0.00%
DAI NIPPON PRINTING CO LTD,JP3493800001        ,120,2727,0.00%
DAIFUKU CO LTD NPV,JP3497400006        ,753,25535,0.00%
DAIICHI SANKYO COMPANY LIMITED,JP3475350009        ,756,33802,0.00%
DAIKIN INDUSTRIES,JP3481800005        ,304,58204,0.00%
DAIMLER AG,US2338252073        ,3700,82587,0.00%
DAIMLER TRUCK HOLDING AG,DE000DTR0CK8        ,149,9160,0.00%
DAIWA SECURITIES GROUP INC.,JP3502200003        ,401,4320,0.00%
DANAHER CORP,US2358511028        ,2302,853643,0.02%
DANONE,FR0000120644        ,194,21165,0.00%
DARDEN RESTAURANTS INC,US2371941053        ,70,21201,0.00%
DASSAULT AVIATION EUR0.80 (POST SUBDIVISION),FR0014004L86        ,6,1857,0.00%
DASSAULT SYSTEMES SE,FR0014003TT8        ,287,16075,0.00%
DATADOG INC,US23804L1035        ,2143,494608,0.01%
DATANG INTL POWER GEN CO-H,CNE1000002Z3        ,11299,3383,0.00%
DAVIDE CAMPARI MIL,NL0015435975        ,176,1767,0.00%
DAVITA INC,US23918K1088        ,29,7009,0.00%
DAY ONE BIOPHARMAC COM,US23954D1090        ,1397,28583,0.00%
DAYFORCE INC,US15677J1088        ,87,10194,0.00%
DBS GROUP HOLDINGS LTD,SG1L01001701        ,12137,628243,0.02%
DCC PLC,IE0002424939        ,28,2930,0.00%
DE GREY MINING LTD,AU000000DEG6        ,587816,1037495,0.03%
DECKERS OUTDOOR ORD SHS A,US2435371073        ,80,26253,0.00%
DEERE & CO,US2441991054        ,2787,1907309,0.05%
DELHIVERY LTD,INE148O01028        ,25665,167595,0.00%
DELIVEROO PLC,GB00BNC5T391        ,685,1965,0.00%
DELIVERY HERO SE,DE000A2E4K43        ,55,2482,0.00%
DELL TECHNOLOGIES INC,US24703L2025        ,509,94795,0.00%
DELTA AIR LINES INC,US2473617023        ,187,18228,0.00%
DELTA ELECTRONICS INC,TW0002308004        ,10621,225254,0.01%
DELTA GALIL INDUSTRIES LTD,IL0006270347        ,273,24322,0.00%
DELTA ISREAL BRAND ORD SHS,IL0011736993        ,206,5648,0.00%
DEMANT A S,DK0060738599        ,28,1681,0.00%
DEN DANSKE BANK AS DKK,DK0010274414        ,376,17183,0.00%
DENSO CORP NPV,JP3551500006        ,2478,56393,0.00%
DENTSU GROUP INC,JP3551520004        ,58,2280,0.00%
DEPPON LOGISTICS ORD SHS A,CNE100002SZ0        ,7287,23105,0.00%
DESCARTES SYSTEMS GROUP INC,CA2499061083        ,51,9338,0.00%
DETERRA ROYALTIES LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000107484        ,29085,108197,0.00%
DEUTSCHE BANK AG (REG),DE0005140008        ,937,26081,0.00%
DEUTSCHE BOERSE AG,DE0005810055        ,2814,1046780,0.03%
DEUTSCHE LUFTHANSA AG,DE0008232125        ,171,1762,0.00%
DEUTSCHE POST AG,DE0005552004        ,307,17449,0.00%
DEVON ENERGY CORPORATION,US25179M1036        ,332,17571,0.00%
DEXCOM INC,US2521311074        ,425,53355,0.00%
DIAGEO ORD,GB0002374006        ,670,34380,0.00%
DIAMONDBACK ENERGY INC,US25278X1090        ,1718,454626,0.01%
DIASORIN SPA,IT0003492391        ,5,828,0.00%
DICK'S SPORTING GOODS INC,US2533931026        ,17,6394,0.00%
DIETEREN GROUP,BE0974259880        ,6,1644,0.00%
DIRECT LINE INSURANCE GROUP PLC,GB00BY9D0Y18        ,680,3508,0.00%
DISCO CORPORATION NPV,JP3548600000        ,89,39005,0.00%
DISCOVER FINANCIAL SERVICES,US2547091080        ,160,44848,0.00%
DISCOVERIE GROUP PLC,GB0000055888        ,62,895,0.00%
DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION SA,ES0126775032        ,182053,4658,0.00%
DIVERSIFIED ENERGY CO PLC,GB00BQHP5P93        ,41,1125,0.00%
DIVIS LABORATORIES LTD,INE361B01024        ,942,108408,0.00%
DIXON TECHNOLOGIES INR2.00 (POST SUBD),INE935N01020        ,65,22103,0.00%
DNB BANK ASA,NO0010161896        ,270,8699,0.00%
DOCUSIGN INC,US2561631068        ,4317,627074,0.02%
DOLLAR GENERAL,US2566771059        ,2592,317470,0.01%
