Table 1 – Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Assets,,,,
,,,Value (AUD),Weighting (%)
Hawaiian Electric Industries Inc,HE US,"1,929","30,322",0.00%
HCA Healthcare Inc,HCA US,"39,201","19,003,862",0.04%
HCL Technologies Ltd,HCLT IN,"106,669","3,858,439",0.01%
HD Hyundai Electric Co Ltd,267260 KS,"1,825","764,949",0.00%
HDFC Asset Management Co Ltd,HDFCAMC IN,"5,328","422,052",0.00%
HDFC Bank Ltd,HDB US,"266,926","27,531,149",0.06%
HDFC Bank Ltd,HDFCB IN,"802,643","26,844,491",0.06%
HDFC Life Insurance Co Ltd,HDFCLIFE IN,"23,017","267,931",0.00%
Healius Ltd,HLS AU,"2,367,734","3,243,796",0.01%
HealthEquity Inc,HQY US,"119,342","18,494,468",0.04%
HEICO Corp,HEI US,"6,935","2,662,983",0.01%
Heineken Holding NV,HEIO NA,"52,234","5,053,715",0.01%
Heineken NV,HEIA NA,"152,916","17,569,649",0.04%
Helia Group Ltd,HLI AU,"58,127","259,827",0.00%
Helios Technologies Inc,HLIO US,"51,953","3,745,763",0.01%
Helios Towers PLC,HTWS LN,"11,719","21,691",0.00%
Hellenic Telecommunications Organization SA,HTO GA,"7,032","175,005",0.00%
Helvetia Holding AG,HELN SW,"1,065","283,680",0.00%
Henkel AG & Co KGaA,HEN GR,"16,429","2,044,300",0.00%
Henkel AG & Co KGaA,HEN3 GR,"38,671","5,477,943",0.01%
Hera SpA,HER IM,"9,855","56,565",0.00%
Hermes International SCA,RMS FP,"5,159","20,035,781",0.05%
Hero MotoCorp Ltd,HMCL IN,"2,472","194,018",0.00%
Hershey Co/The,HSY US,"5,717","1,563,614",0.00%
Hess Midstream LP,HESM US,"18,391","1,099,916",0.00%
Hewlett Packard Enterprise Co,HPE US,"78,841","2,718,665",0.01%
HF Sinclair Corp,DINO US,"13,874","785,425",0.00%
Hilton Worldwide Holdings Inc,HLT US,"17,081","6,818,788",0.02%
Hims & Hers Health Inc,HIMS US,"34,273","1,338,476",0.00%
Hindustan Aeronautics Ltd,HNAL IN,"34,258","2,700,423",0.01%
Hindustan Unilever Ltd,HUVR IN,"69,076","3,032,208",0.01%
Hitachi Ltd,6501 JP,"267,298","10,814,935",0.03%
HMM Co Ltd,011200 KS,"36,832","713,631",0.00%
HOCHTIEF AG,HOT GR,"6,914","1,499,700",0.00%
Hokkaido Electric Power Co Inc,9509 JP,"2,297","19,687",0.00%
Hokkaido Gas Co Ltd,9534 JP,792,"4,542",0.00%
Hokuriku Electric Power Co,9505 JP,"1,743","15,403",0.00%
Holcim AG,HOLN SW,"86,120","13,408,236",0.03%
Hologic Inc,HOLX US,"21,066","2,452,788",0.01%
Home Depot Inc/The,HD US,"33,272","20,903,583",0.05%
Hon Hai Precision Industry Co Ltd,2317 TT,"563,237","5,105,576",0.01%
Honda Motor Co Ltd,7267 JP,"83,742","1,321,031",0.00%
Hong Kong & China Gas Co Ltd,3 HK,"127,522","164,655",0.00%
Hong Kong Exchanges & Clearing Ltd,388 HK,"58,546","3,588,586",0.01%
Hong Leong Bank Bhd,HLBK MK,"17,722","131,608",0.00%
Horizon Robotics Inc,9660 HK,"6,808,229","5,096,058",0.01%
Howmet Aerospace Inc,HWM US,"32,639","5,765,449",0.01%
Hoya Corp,7741 JP,"6,451","1,313,744",0.00%
HP Inc,HPQ US,"72,473","3,819,436",0.01%
HSBC Holdings PLC,HSBA LN,"1,277,138","20,287,129",0.05%
HSBC Holdings PLC,5 HK,"37,875","596,922",0.00%
HUB24 Ltd,HUB AU,"387,556","26,973,918",0.06%
Hubbell Inc,HUBB US,"13,630","9,221,187",0.02%
HubSpot Inc,HUBS US,"5,322","5,988,767",0.01%
Humana Inc,HUM US,"42,116","17,258,134",0.04%
Huntington Bancshares Inc/OH,HBAN US,"57,081","1,499,969",0.00%
Huntington Ingalls Industries Inc,HII US,"7,382","2,252,972",0.01%
Hydro One Ltd,H CN,"153,841","7,648,337",0.02%
Hyundai Glovis Co Ltd,086280 KS,"11,494","1,489,311",0.00%
Hyundai Mobis Co Ltd,012330 KS,97,"25,249",0.00%
Hyundai Motor Co,005380 KS,"44,080","10,252,379",0.02%
Hyundai Motor Co,005387 KS,"2,778","475,498",0.00%
Hyundai Rotem Co Ltd,064350 KS,"8,396","457,825",0.00%
iA Financial Corp Inc,IAG CN,"2,093","313,369",0.00%
Iberdrola SA,IBE SM,"509,423","11,331,426",0.03%
ICICI Bank Ltd,IBN US,"218,863","10,555,191",0.02%
ICICI Bank Ltd,ICICIBC IN,"201,433","4,870,349",0.01%
ICL Group Ltd,ICL IT,"23,372","186,478",0.00%
ICON PLC,ICLR US,"73,967","25,053,000",0.06%
IDACORP Inc,IDA US,616,"108,764",0.00%
IDEX Corp,IEX US,"7,904","2,671,923",0.01%
IDEXX Laboratories Inc,IDXX US,"3,690","2,464,337",0.01%
IDFC First Bank Ltd,IDFCFB IN,"1,940,540","2,311,467",0.01%
IDP Education Ltd,IEL AU,"2,903,311","36,668,817",0.09%
IGM Financial Inc,IGM CN,"12,871","663,572",0.00%
IGO Ltd,IGO AU,"11,518,015","54,940,930",0.13%
Illinois Tool Works Inc,ITW US,"10,117","4,143,160",0.01%
Illumina Inc,ILMN US,"18,668","4,029,045",0.01%
Iluka Resources Ltd,ILU AU,"1,079,572","5,451,840",0.01%
Imdex Ltd,IMD AU,"5,306,307","12,310,631",0.03%
Immutep Ltd,IMM AU,"2,575,940","940,218",0.00%
Imperial Oil Ltd,IMO CN,"32,874","3,270,570",0.01%
Imugene Ltd,IMU AU,"1,655,378","61,249",0.00%
Incitec Pivot Ltd,IPL AU,"17,267,074","50,592,528",0.12%
Incyte Corp,INCY US,"53,650","5,984,969",0.01%
Indian Railway Catering & Tourism Corp Ltd,IRCTC IN,"19,207","285,126",0.00%
Indofood Sukses Makmur Tbk PT,INDF IJ,"392,913","303,599",0.00%
Industria de Diseno Textil SA,ITX SM,"409,190","33,971,225",0.08%
Industrial & Commercial Bank of China Ltd,1398 HK,"6,121,507","6,631,225",0.02%
Industrial & Commercial Bank of China Ltd,601398 C1,"475,591","728,225",0.00%
Industrial Bank of Korea,024110 KS,"28,471","447,608",0.00%
Industrivarden AB,INDUA SS,255,"13,020",0.00%
Infineon Technologies AG,IFX GR,"7,824","410,857",0.00%
Infomedia Ltd,IFM AU,"8,174,316","12,588,447",0.03%
Informa PLC,INF LN,221,"3,568",0.00%
Infosys Ltd,INFY US,"81,669","2,891,353",0.01%
Infosys Ltd,INFO IN,"58,276","2,066,833",0.00%
Infrastrutture Wireless Italiane SpA,INW IM,"4,165","68,376",0.00%
Infratil Ltd,IFT AU,"1,084,369","12,546,144",0.03%
ING Groep NV,INGA NA,"758,782","19,200,392",0.05%
Ingersoll Rand Inc,IR US,347,"50,709",0.00%
Inghams Group Ltd,ING AU,"50,428","160,362",0.00%
Inpex Corp,1605 JP,"152,602","3,090,295",0.01%
InPost SA,INPST NA,"20,947","578,383",0.00%
Insignia Financial Ltd,IFL AU,"1,499,606","5,323,601",0.01%
Inspire Medical Systems Inc,INSP US,"20,837","6,238,908",0.01%
Insurance Australia Group Ltd,IAG AU,"8,975,401","75,931,889",0.18%
Intact Financial Corp,IFC CN,"3,259","958,020",0.00%
Integral Diagnostics Ltd,IDX AU,"5,048,925","14,692,372",0.03%
Intel Corp,INTC US,"81,363","2,634,801",0.01%
Interactive Brokers Group Inc,IBKR US,"20,804","5,936,330",0.01%
Intercontinental Exchange Inc,ICE US,"8,712","2,096,624",0.00%
InterContinental Hotels Group PLC,IHG LN,"8,142","1,639,274",0.00%
InterGlobe Aviation Ltd,INDIGO IN,"29,475","2,532,361",0.01%
International Business Machines Corp,IBM US,"26,487","9,404,413",0.02%
International Flavors & Fragrances Inc,IFF US,"41,354","5,647,278",0.01%
International Games System Co Ltd,3293 TT,"37,315","1,790,495",0.00%
International Holding Co PJSC,IHC UH,"48,279","8,597,869",0.02%
International Paper Co,IP US,"23,697","2,059,881",0.00%
Intertek Group PLC,ITRK LN,"9,500","908,501",0.00%
Intesa Sanpaolo SpA,ISP IM,"1,052,970","6,802,916",0.02%
Intouch Holdings PCL,INTUCH/F TB,"14,961","68,747",0.00%
Intra-Cellular Therapies Inc,ITCI US,"48,593","6,554,924",0.02%
Intuit Inc,INTU US,"43,219","43,872,109",0.10%
Intuitive Surgical Inc,ISRG US,"61,101","51,510,048",0.12%
Investec Ltd,INL SJ,"1,267","13,557",0.00%
Investec PLC,INVP LN,"225,615","2,482,637",0.01%
ioneer Ltd,INR AU,"379,857","60,777",0.00%
IperionX Ltd,IPX AU,"42,371","233,040",0.00%
IPH Ltd,IPH AU,"1,408,720","7,085,862",0.02%
Ipsen SA,IPN FP,"11,653","2,157,382",0.01%
IQVIA Holdings Inc,IQV US,"50,731","16,101,250",0.04%
IRESS Ltd,IRE AU,"2,577,369","23,995,304",0.06%
Iridium Communications Inc,IRDM US,"1,320","61,887",0.00%
Isuzu Motors Ltd,7202 JP,"32,563","722,337",0.00%
Italgas SpA,IG IM,"6,043","54,674",0.00%
Itau Unibanco Holding SA,ITUB US,"1,514,502","12,132,650",0.03%
ITOCHU Corp,8001 JP,"41,621","3,350,059",0.01%
J Sainsbury PLC,SBRY LN,"2,107,122","11,661,462",0.03%
Jabil Inc,JBL US,"53,022","12,323,051",0.03%
James Hardie Industries PLC,JHX AU,"2,874,793","143,940,891",0.34%
Japan Airlines Co Ltd,9201 JP,"22,402","573,820",0.00%
Japan Aviation Electronics Industry Ltd,6807 JP,"14,780","452,501",0.00%
Japan Elevator Service Holdings Co Ltd,6544 JP,"149,890","4,491,830",0.01%
Japan Exchange Group Inc,8697 JP,"36,643","666,542",0.00%
Japan Post Holdings Co Ltd,6178 JP,"34,641","530,620",0.00%
Jarir Marketing Co,JARIR AB,"90,212","490,925",0.00%
JB Hi-Fi Ltd,JBH AU,"192,342","17,826,264",0.04%
JD Logistics Inc,2618 HK,776,"2,064",0.00%
JD.com Inc,9618 HK,"18,399","520,259",0.00%
JD.com Inc,JD US,"86,443","4,840,479",0.01%
Jeronimo Martins SGPS SA,JMT PL,"353,680","10,913,423",0.03%
JMDC Inc,4483 JP,"72,408","2,921,448",0.01%
Joby Aviation Inc,JOBY US,"471,704","6,193,899",0.01%
Johns Lyng Group Ltd,JLG AU,"32,960","123,271",0.00%
Johnson & Johnson,JNJ US,"211,451","49,390,478",0.12%
Johnson Controls International plc,JCI US,"66,855","8,522,814",0.02%
JPMorgan Chase & Co,JPM US,"128,707","49,830,002",0.12%
JSW Energy Ltd,JSW IN,"726,286","8,805,271",0.02%
JSW Steel Ltd,JSTL IN,"371,601","6,319,804",0.01%
JTEKT Corp,6473 JP,"57,505","697,053",0.00%
Judo Capital Holdings Ltd,JDO AU,"13,569,430","24,696,364",0.06%
Jumbo Interactive Ltd,JIN AU,"6,959","96,876",0.00%
JUMBO SA,BELA GA,"118,455","5,063,698",0.01%
Juniper Networks Inc,JNPR US,"12,720","769,408",0.00%
Jupiter Mines Ltd,JMS AU,"5,525,337","801,174",0.00%
Kadant Inc,KAI US,"10,784","6,008,584",0.01%
Kalbe Farma Tbk PT,KLBF IJ,"3,217,570","439,117",0.00%
Kansai Electric Power Co Inc/The,9503 JP,"25,176","453,693",0.00%
Kansai Paint Co Ltd,4613 JP,"27,867","648,098",0.00%
Kanzhun Ltd,BZ US,"9,968","222,180",0.00%
Kao Corp,4452 JP,"36,228","2,378,301",0.01%
Karoon Energy Ltd,KAR AU,"2,457,443","3,415,846",0.01%
Kasikornbank PCL,KBANK/F TB,"88,123","649,133",0.00%
Kawasaki Kisen Kaisha Ltd,9107 JP,"46,420","1,075,512",0.00%
KB Financial Group Inc,105560 KS,"58,224","5,295,526",0.01%
KBC Group NV,KBC BB,"40,460","5,043,916",0.01%
KDDI Corp,9433 JP,"170,575","8,838,515",0.02%
Kelsian Group Ltd,KLS AU,"36,321","132,934",0.00%
Kerry Group PLC,KYGA LN,"42,986","6,535,050",0.02%
Kerry Group PLC,KYGA ID,"6,399","997,918",0.00%
Keurig Dr Pepper Inc,KDP US,"100,762","5,227,269",0.01%
Kewpie Corp,2809 JP,"14,703","506,809",0.00%
KeyCorp,KEY US,"42,615","1,179,725",0.00%
Keyence Corp,6861 JP,"61,650","40,947,588",0.10%
Keysight Technologies Inc,KEYS US,"38,891","10,089,736",0.02%
Kia Corp,000270 KS,"29,617","3,272,073",0.01%
Kikkoman Corp,2801 JP,"12,933","234,253",0.00%
Kimberly-Clark Corp,KMB US,"50,714","10,733,314",0.03%
Kinder Morgan Inc,KMI US,"22,486","995,093",0.00%
Kingdee International Software Group Co Ltd,268 HK,"1,857,178","3,293,824",0.01%
Kingfisher PLC,KGF LN,"147,108","740,049",0.00%
Kingspan Group PLC,KSP ID,"6,309","743,400",0.00%
Kinross Gold Corp,K CN,"207,087","3,104,691",0.01%
KKR & Co Inc,KKR US,"42,384","10,125,291",0.02%
KLA Corp,KLAC US,"6,432","6,545,938",0.02%
KMD Brands Ltd,KMD AU,"7,307,897","2,850,080",0.01%
Knorr-Bremse AG,KBX GR,240,"28,203",0.00%
Kogan.com Ltd,KGN AU,"15,833","98,320",0.00%
Kokuyo Co Ltd,7984 JP,933,"26,822",0.00%
Komatsu Ltd,6301 JP,"28,242","1,262,551",0.00%
Komercni Banka AS,KOMB CP,"8,498","479,017",0.00%
Konami Group Corp,9766 JP,"40,107","6,100,240",0.01%
Kone Oyj,KNEBV FH,"50,401","3,961,805",0.01%
Kongsberg Gruppen ASA,KOG NO,"40,351","7,345,048",0.02%
Konica Minolta Inc,4902 JP,"94,533","643,623",0.00%
Koninklijke Ahold Delhaize NV,AD NA,"110,728","5,831,569",0.01%
Koninklijke KPN NV,KPN NA,"547,555","3,218,899",0.01%
Koninklijke Philips NV,PHIA NA,"117,311","4,787,217",0.01%
Koninklijke Vopak NV,VPK NA,718,"51,063",0.00%
Korea Electric Power Corp,015760 KS,"3,075","67,636",0.00%
Korea Gas Corp,036460 KS,325,"12,363",0.00%
Korean Air Lines Co Ltd,003490 KS,"28,612","709,420",0.00%
Kotak Mahindra Bank Ltd,KMB IN,"153,002","5,155,262",0.01%
Kraft Heinz Co/The,KHC US,"7,522","373,085",0.00%
Krafton Inc,259960 KS,"8,318","2,851,676",0.01%
Kroger Co/The,KR US,"95,847","9,466,289",0.02%
Krung Thai Bank PCL,KTB/F TB,"3,539","3,520",0.00%
K's Holdings Corp,8282 JP,"14,472","209,415",0.00%
KT Corp,KT US,"32,458","813,600",0.00%
Kuehne + Nagel International AG,KNIN SW,303,"112,042",0.00%
Kumba Iron Ore Ltd,KIO SJ,"6,346","177,198",0.00%
Kunlun Energy Co Ltd,135 HK,"94,841","165,643",0.00%
Kweichow Moutai Co Ltd,600519 C1,"36,348","12,257,036",0.03%
Kyowa Kirin Co Ltd,4151 JP,"37,058","904,690",0.00%
Kyushu Electric Power Co Inc,9508 JP,"5,148","74,761",0.00%
La Francaise des Jeux SAEM,FDJ FP,"87,032","5,417,633",0.01%
Lam Research Corp,LRCX US,"46,294","5,400,660",0.01%
Largan Precision Co Ltd,3008 TT,"12,798","1,686,578",0.00%
Larsen & Toubro Ltd,LT IN,"123,075","8,376,325",0.02%
Las Vegas Sands Corp,LVS US,"4,965","411,820",0.00%
Latam Airlines Group SA,LTM CI,"15,074,498","336,126",0.00%
Latin Resources Ltd,LRS AU,"899,808","143,969",0.00%
Lear Corp,LEA US,"99,435","15,208,782",0.04%
LEENO Industrial Inc,058470 KS,"23,453","4,930,017",0.01%
Legal & General Group PLC,LGEN LN,"1,849,533","8,597,245",0.02%
Legrand SA,LR FP,"3,899","613,163",0.00%
Leidos Holdings Inc,LDOS US,"25,679","5,974,753",0.01%
Lennar Corp,LEN US,"56,744","12,498,174",0.03%
Lennox International Inc,LII US,"2,625","2,583,301",0.01%
Lenovo Group Ltd,992 HK,"1,152,036","2,414,485",0.01%
Leonardo SpA,LDO IM,"105,760","4,586,467",0.01%
LG Chem Ltd,051910 KS,376,"103,038",0.00%
LG Corp,003550 KS,"3,127","247,007",0.00%
LGI Homes Inc,LGIH US,"27,085","3,910,860",0.01%
Li Ning Co Ltd,2331 HK,"1,199,239","4,104,245",0.01%
Liberty Media Corp-Liberty Formula One,FWONK US,"2,909","435,397",0.00%
Life360 Inc,360 AU,"1,705,115","38,433,300",0.09%
Light & Wonder Inc,LNW AU,"54,116","7,422,542",0.02%
Linde PLC,LIN US,"67,290","45,501,461",0.11%
Linde PLC,LIN GR,30,"20,185",0.00%
Lintec Corp,7966 JP,"14,626","460,714",0.00%
Liontown Resources Ltd,LTR AU,"326,394","171,357",0.00%
Live Nation Entertainment Inc,LYV US,"8,303","1,736,680",0.00%
Lloyds Banking Group PLC,LLOY LN,"787,795","872,936",0.00%
Loblaw Cos Ltd,L CN,"42,590","9,047,901",0.02%
Lockheed Martin Corp,LMT US,"3,536","2,775,036",0.01%
Loews Corp,L US,"37,095","5,074,013",0.01%
Logitech International SA,LOGN SW,"17,552","2,347,303",0.01%
Lojas Renner SA,LREN3 BZ,"370,666","1,174,497",0.00%
London Stock Exchange Group PLC,LSEG LN,"193,799","44,238,433",0.10%
Lonza Group AG,LONN SW,30,"28,467",0.00%
L'Oreal SA,OR FP,"3,836","2,193,139",0.01%
Lotes Co Ltd,3533 TT,"6,928","667,283",0.00%
Lottery Corp Ltd/The,TLC AU,"7,603,257","37,560,091",0.09%
Lovisa Holdings Ltd,LOV AU,"372,553","11,236,207",0.03%
Lowe's Cos Inc,LOW US,"4,541","1,810,198",0.00%
LPL Financial Holdings Inc,LPLA US,"3,491","1,841,040",0.00%
LS Electric Co Ltd,010120 KS,"1,169","206,156",0.00%
Lupin Ltd,LPC IN,"17,767","789,556",0.00%
LVMH Moet Hennessy Louis Vuitton SE,MC FP,"34,465","36,631,271",0.09%
LY Corp,4689 JP,"112,239","483,764",0.00%
Lynas Rare Earths Ltd,LYC AU,"5,430,020","34,915,028",0.08%
LyondellBasell Industries NV,LYB US,"3,814","457,558",0.00%
M&T Bank Corp,MTB US,"5,205","1,580,452",0.00%
MA Financial Group Ltd,MAF AU,"1,221,211","7,473,809",0.02%
Maas Group Holdings Ltd,MGH AU,"1,364,061","6,533,852",0.02%
Metals Acquisition Ltd,MAC AU,"121,885","2,097,637",0.00%
Macquarie Group Ltd,MQG AU,"1,278,763","283,437,786",0.67%
Macquarie Technology Group Ltd,MAQ AU,"2,251","198,746",0.00%
Magellan Financial Group Ltd,MFG AU,"618,061","6,872,837",0.02%
Magna International Inc,MG CN,"24,557","1,656,879",0.00%
Magna International Inc,MGA US,"290,832","19,629,953",0.05%
Mahindra & Mahindra Ltd,MM IN,"67,554","3,832,275",0.01%
MakeMyTrip Ltd,MMYT US,"19,220","3,485,463",0.01%
Makita Corp,6586 JP,"60,584","3,015,343",0.01%
Manhattan Associates Inc,MANH US,"12,552","5,478,479",0.01%
ManpowerGroup Inc,MAN US,"15,860","1,478,559",0.00%
Manulife Financial Corp,MFC CN,"322,241","15,980,667",0.04%
MarketAxess Holdings Inc,MKTX US,"6,616","2,415,393",0.01%
Marks & Spencer Group PLC,MKS LN,"295,442","2,244,034",0.01%
Marriott International Inc/MD,MAR US,"20,999","9,460,473",0.02%
Marsh & McLennan Cos Inc,MMC US,"99,802","34,238,931",0.08%
Marvell Technology Inc,MRVL US,"120,578","21,509,925",0.05%
Masco Corp,MAS US,"7,644","895,975",0.00%
Mastercard Inc,MA US,"101,698","86,491,711",0.20%
Match Group Inc,MTCH US,"7,015","370,582",0.00%
Max Healthcare Institute Ltd,MAXHEALT IN,"607,618","12,931,770",0.03%
Mayne Pharma Group Ltd,MYX AU,"16,036","79,699",0.00%
Mazda Motor Corp,7261 JP,"11,701","130,293",0.00%
McCormick & Co Inc/MD,MKC US,"44,274","5,451,804",0.01%
McDonald's Corp,MCD US,"60,440","28,298,560",0.07%
McDonald's Holdings Co Japan Ltd,2702 JP,"13,425","854,004",0.00%
McKesson Corp,MCK US,913,"840,132",0.00%
McMillan Shakespeare Ltd,MMS AU,"9,915","148,725",0.00%
MediaTek Inc,2454 TT,"362,550","25,273,169",0.06%
Medibank Pvt Ltd,MPL AU,"19,324,800","73,240,991",0.17%
Medipal Holdings Corp,7459 JP,"12,856","314,508",0.00%
Medpace Holdings Inc,MEDP US,"12,601","6,761,616",0.02%
Medtronic PLC,MDT US,"222,531","28,709,928",0.07%
MEG Energy Corp,MEG CN,"21,308","564,740",0.00%
Megaport Ltd,MP1 AU,"782,915","5,770,086",0.01%
MEIJI Holdings Co Ltd,2269 JP,"43,343","1,425,838",0.00%
Meituan,3690 HK,"1,350,333","42,591,635",0.10%
Melexis NV,MELE BB,"29,432","2,781,163",0.01%
MercadoLibre Inc,MELI US,"13,965","38,354,932",0.09%
Mercedes-Benz Group AG,MBG GR,"9,947","894,990",0.00%
Merck & Co Inc,MRK US,"169,535","27,239,543",0.06%
Mercury NZ Ltd,MCY NZ,"95,164","503,751",0.00%
Meritz Financial Group Inc,138040 KS,"1,560","178,043",0.00%
Mesoblast Ltd,MSB AU,"146,282","453,474",0.00%
Meta Platforms Inc,META US,"144,517","136,665,221",0.32%
Metcash Ltd,MTS AU,"16,204,870","50,235,098",0.12%
Meteoric Resources NL,MEI AU,"234,803","19,958",0.00%
MetLife Inc,MET US,"122,056","16,141,348",0.04%
Metropolitan Bank & Trust Co,MBT PM,"266,308","535,372",0.00%
Mettler-Toledo International Inc,MTD US,311,"615,628",0.00%
MGE Energy Inc,MGEE US,421,"63,826",0.00%
MGM Resorts International,MGM US,"32,053","1,793,792",0.00%
Microchip Technology Inc,MCHP US,"8,083","748,708",0.00%
Micron Technology Inc,MU US,"32,783","4,456,174",0.01%
Microsoft Corp,MSFT US,"590,532","402,017,686",0.95%
MicroStrategy Inc,MSTR US,"3,729","1,744,385",0.00%
Midea Group Co Ltd,000333 C2,"32,563","541,982",0.00%
Mineral Resources Ltd,MIN AU,"384,578","13,171,796",0.03%
MINISO Group Holding Ltd,9896 HK,"5,850","57,227",0.00%
Minor International PCL,MINT/F TB,"806,287","993,062",0.00%
Mitsubishi Chemical Group Corp,4188 JP,"28,945","237,882",0.00%
Mitsubishi Corp,8058 JP,"130,698","3,497,619",0.01%
Mitsubishi Electric Corp,6503 JP,"232,637","6,424,042",0.02%
Mitsubishi Heavy Industries Ltd,7011 JP,"15,319","349,977",0.00%
Mitsubishi UFJ Financial Group Inc,8306 JP,"147,573","2,799,634",0.01%
Mitsui & Co Ltd,8031 JP,"78,912","2,685,125",0.01%
Mitsui Mining & Smelting Co Ltd,5706 JP,"20,708","993,202",0.00%
Mitsui OSK Lines Ltd,9104 JP,"19,784","1,119,888",0.00%
Mizuho Financial Group Inc,8411 JP,"98,613","3,925,040",0.01%
Moderna Inc,MRNA US,"121,964","8,190,674",0.02%
Modine Manufacturing Co,MOD US,"23,719","4,441,250",0.01%
Monadelphous Group Ltd,MND AU,"375,631","5,258,836",0.01%
Monash IVF Group Ltd,MVF AU,"8,008,800","10,171,176",0.02%
Moncler SpA,MONC IM,"157,346","13,415,589",0.03%
Monday.com Ltd,MNDY US,"5,389","2,049,122",0.00%
Mondelez International Inc,MDLZ US,"4,450","429,250",0.00%
Mondi PLC,MNDI LN,"68,391","1,649,017",0.00%
Monolithic Power Systems Inc,MPWR US,"2,239","2,139,368",0.01%
MonotaRO Co Ltd,3064 JP,"466,199","12,801,764",0.03%
Monster Beverage Corp,MNST US,"232,147","19,707,110",0.05%
Moody's Corp,MCO US,"74,543","56,991,438",0.13%
Morgan Stanley,MS US,"56,532","11,478,970",0.03%
Morinaga & Co Ltd/Japan,2201 JP,"69,748","1,947,168",0.00%
Morinaga Milk Industry Co Ltd,2264 JP,"94,995","2,857,983",0.01%
Mosaic Co/The,MOS US,"3,015","119,709",0.00%
Motorola Solutions Inc,MSI US,"31,454","23,482,464",0.06%
Mowi ASA,MOWI NO,"34,642","959,406",0.00%
Mr Price Group Ltd,MRP SJ,988,"24,968",0.00%
MS&AD Insurance Group Holdings Inc,8725 JP,"419,133","14,856,191",0.04%
MSCI Inc,MSCI US,"23,778","23,043,304",0.05%
MTN Group Ltd,MTN SJ,"184,948","1,456,208",0.00%
MTR Corp Ltd,66 HK,"17,029","95,954",0.00%
MTU Aero Engines AG,MTX GR,579,"311,755",0.00%
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,MUV2 GR,"3,446","2,807,662",0.01%
Multiply Group PJSC,MULTIPLY UH,"155,438","141,483",0.00%
MyState Ltd,MYS AU,"26,078","116,308",0.00%
Nanosonics Ltd,NAN AU,"57,069","171,779",0.00%
NARI Technology Co Ltd,600406 C1,"1,450,398","8,093,908",0.02%
Nasdaq Inc,NDAQ US,"30,394","3,795,110",0.01%
Naspers Ltd,NPN SJ,"8,809","3,146,663",0.01%
National Australia Bank Ltd,NAB AU,"10,114,120","375,233,837",0.89%
National Bank of Canada,NA CN,"7,769","1,143,321",0.00%
National Bank of Greece SA,ETE GA,"266,992","3,420,441",0.01%
National Grid PLC,NG/ LN,"195,125","3,749,596",0.01%
Naturgy Energy Group SA,NTGY SM,"1,438","56,244",0.00%
NatWest Group PLC,NWG LN,"2,930,786","23,837,752",0.06%
nCino Inc,NCNO US,"70,352","3,815,570",0.01%
NEC Corp,6701 JP,"17,287","2,437,497",0.01%
Nedbank Group Ltd,NED SJ,798,"19,230",0.00%
Nestle India Ltd,NEST IN,"12,925","529,135",0.00%
Nestle Malaysia Bhd,NESZ MK,616,"22,240",0.00%
Nestle SA,NESN SW,"422,544","56,388,981",0.13%
NetApp Inc,NTAP US,"41,983","7,871,032",0.02%
NetEase Inc,NTES US,"128,969","18,582,470",0.04%
NetEase Inc,9999 HK,"65,383","1,881,464",0.00%
Netflix Inc,NFLX US,"72,751","104,731,800",0.25%
Netwealth Group Ltd,NWL AU,"776,120","22,313,448",0.05%
Neuren Pharmaceuticals Ltd,NEU AU,"100,277","1,253,466",0.00%
Neurocrine Biosciences Inc,NBIX US,"13,640","3,007,024",0.01%
New Oriental Education & Technology Group Inc,9901 HK,"12,086","123,009",0.00%
Newell Brands Inc,NWL US,"563,625","9,066,793",0.02%
Newmont Corp,NEM AU,"730,811","43,512,481",0.10%
News Corp,NWS AU,"727,441","36,008,335",0.08%
News Corp,NWSA US,44,"1,946",0.00%
NexGen Energy Ltd,NXG AU,"191,799","2,073,350",0.00%
Nexon Co Ltd,3659 JP,"178,402","4,357,120",0.01%
Next PLC,NXT LN,"22,346","4,293,207",0.01%
NEXTDC Ltd,NXT AU,"2,272,766","34,250,580",0.08%
NextEra Energy Inc,NEE US,"63,236","7,321,915",0.02%
NGK Insulators Ltd,5333 JP,"25,712","531,910",0.00%
nib holdings Ltd/Australia,NHF AU,"77,637","425,451",0.00%
Nice Ltd,NICE IT,"5,082","1,399,458",0.00%
Nick Scali Ltd,NCK AU,"1,459,278","21,903,768",0.05%
Nickel Industries Ltd,NIC AU,"401,082","330,893",0.00%
Nien Made Enterprise Co Ltd,8464 TT,"26,997","487,437",0.00%
NIKE Inc,NKE US,"115,256","14,086,081",0.03%
Nine Entertainment Co Holdings Ltd,NEC AU,"234,818","290,000",0.00%
Nintendo Co Ltd,7974 JP,"37,149","3,536,766",0.01%
Nippon Steel Corp,5401 JP,"12,953","423,572",0.00%
Nippon Telegraph & Telephone Corp,9432 JP,"716,157","1,162,860",0.00%
Nippon Yusen KK,9101 JP,"12,163","659,117",0.00%
NiSource Inc,NI US,"30,445","1,807,597",0.00%
Nitto Denko Corp,6988 JP,"228,227","6,285,836",0.01%
NMDC Ltd,NMDC IN,"129,680","161,269",0.00%
NN Group NV,NN NA,"13,608","957,460",0.00%
